Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,247242,247242,83100698,6
H5,2017,2017,2017,6,1,2,Export,12,Algeria,DZA,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,606,606,864342,0
H5,2017,2017,2017,6,1,2,Export,12,Algeria,DZA,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,606,606,864342,0
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,100,Bulgaria,BGR,300220,Vaccines; for human medicine,8,Weight in kilograms,399,399,242568,0
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,40874,40874,11292291,0
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,276,Germany,DEU,300220,Vaccines; for human medicine,8,Weight in kilograms,351,351,29000,6
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,372,Ireland,IRL,300220,Vaccines; for human medicine,8,Weight in kilograms,95688,95688,43248997,0
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,410,Rep. of Korea,KOR,300220,Vaccines; for human medicine,8,Weight in kilograms,11,11,466,0
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,528,Netherlands,NLD,300220,Vaccines; for human medicine,8,Weight in kilograms,3364,3364,5986402,0
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,699,India,IND,300220,Vaccines; for human medicine,8,Weight in kilograms,97047,97047,18991654,0
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,826,United Kingdom,GBR,300220,Vaccines; for human medicine,8,Weight in kilograms,7681,7681,2057641,0
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,842,USA,USA,300220,Vaccines; for human medicine,8,Weight in kilograms,1827,1827,1251674,6
H5,2017,2017,2017,6,1,1,Import,20,Andorra,AND,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,10125,10125,1991414,0
H5,2017,2017,2017,6,1,1,Import,20,Andorra,AND,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,9117,9117,1416847,0
H5,2017,2017,2017,6,1,1,Import,20,Andorra,AND,276,Germany,DEU,300220,Vaccines; for human medicine,8,Weight in kilograms,279,279,262663,0
H5,2017,2017,2017,6,1,1,Import,20,Andorra,AND,724,Spain,ESP,300220,Vaccines; for human medicine,8,Weight in kilograms,620,620,248068,0
H5,2017,2017,2017,6,1,1,Import,20,Andorra,AND,826,United Kingdom,GBR,300220,Vaccines; for human medicine,8,Weight in kilograms,108,108,63834,0
H5,2017,2017,2017,6,1,1,Import,36,Australia,AUS,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,1059477,1059477,353446259,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,81466,98237,124977552,0
H5,2017,2017,2017,6,1,4,Re-Import,36,Australia,AUS,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,653,653,54290,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,32,Argentina,ARG,300220,Vaccines; for human medicine,8,Weight in kilograms,1292,1292,239438,0
H5,2017,2017,2017,6,1,1,Import,36,Australia,AUS,36,Australia,AUS,300220,Vaccines; for human medicine,8,Weight in kilograms,653,653,54290,0
H5,2017,2017,2017,6,1,4,Re-Import,36,Australia,AUS,36,Australia,AUS,300220,Vaccines; for human medicine,8,Weight in kilograms,653,653,54290,0
H5,2017,2017,2017,6,1,1,Import,36,Australia,AUS,40,Austria,AUT,300220,Vaccines; for human medicine,8,Weight in kilograms,246,246,304327,0
H5,2017,2017,2017,6,1,1,Import,36,Australia,AUS,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,510541,510541,117788458,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,3654,3654,245196,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,96,Brunei Darussalam,BRN,300220,Vaccines; for human medicine,8,Weight in kilograms,10,10,6785,0
H5,2017,2017,2017,6,1,1,Import,36,Australia,AUS,124,Canada,CAN,300220,Vaccines; for human medicine,8,Weight in kilograms,22047,22047,13418541,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,124,Canada,CAN,300220,Vaccines; for human medicine,8,Weight in kilograms,17,17,26158,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,144,Sri Lanka,LKA,300220,Vaccines; for human medicine,8,Weight in kilograms,0,0,866,0
H5,2017,2017,2017,6,1,2,Export,36,Australia,AUS,162,Christmas Isds,CXR,300220,Vaccines; for human medicine,8,Weight in kilograms,272,272,178711,0
H5,2017,2017,2017,6,1,1,Import,36,Australia,AUS,208,Denmark,DNK,300220,Vaccines; for human medicine,8,Weight in kilograms,4615,4615,1966022,0
