Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H5,2021,2021,2021,6,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,19450,19450,78637979,0
H5,2021,2021,2021,6,1,2,Export,31,Azerbaijan,AZE,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,1657,1657,1245447,0
H5,2021,2021,2021,6,1,1,Import,31,Azerbaijan,AZE,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,3282,3282,8628016,0
H5,2021,2021,2021,6,1,1,Import,31,Azerbaijan,AZE,100,Bulgaria,BGR,300220,Vaccines; for human medicine,8,Weight in kilograms,351,351,43541,0
H5,2021,2021,2021,6,1,1,Import,31,Azerbaijan,AZE,156,China,CHN,300220,Vaccines; for human medicine,8,Weight in kilograms,3274,3274,62792510,0
H5,2021,2021,2021,6,1,1,Import,31,Azerbaijan,AZE,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,1600,1600,997311,0
H5,2021,2021,2021,6,1,1,Import,31,Azerbaijan,AZE,360,Indonesia,IDN,300220,Vaccines; for human medicine,8,Weight in kilograms,177,177,23691,0
H5,2021,2021,2021,6,1,1,Import,31,Azerbaijan,AZE,381,Italy,ITA,300220,Vaccines; for human medicine,8,Weight in kilograms,120,120,338605,0
H5,2021,2021,2021,6,1,1,Import,31,Azerbaijan,AZE,410,Rep. of Korea,KOR,300220,Vaccines; for human medicine,8,Weight in kilograms,183,183,336032,0
H5,2021,2021,2021,6,1,1,Import,31,Azerbaijan,AZE,528,Netherlands,NLD,300220,Vaccines; for human medicine,8,Weight in kilograms,1125,1125,516187,0
H5,2021,2021,2021,6,1,1,Import,31,Azerbaijan,AZE,643,Russian Federation,RUS,300220,Vaccines; for human medicine,8,Weight in kilograms,1656,1656,3238846,0
H5,2021,2021,2021,6,1,2,Export,31,Azerbaijan,AZE,643,Russian Federation,RUS,300220,Vaccines; for human medicine,8,Weight in kilograms,15,15,10447,0
H5,2021,2021,2021,6,1,1,Import,31,Azerbaijan,AZE,699,India,IND,300220,Vaccines; for human medicine,8,Weight in kilograms,7678,7678,1720145,0
H5,2021,2021,2021,6,1,2,Export,31,Azerbaijan,AZE,792,Turkey,TUR,300220,Vaccines; for human medicine,8,Weight in kilograms,1642,1642,1235000,0
H5,2021,2021,2021,6,1,1,Import,31,Azerbaijan,AZE,842,USA,USA,300220,Vaccines; for human medicine,8,Weight in kilograms,0,0,3090,0
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,1184959,,1777764264,6
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,87038,87038,125186899,0
H5,2021,2021,2021,6,1,4,Re-Import,36,Australia,AUS,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,3748,,5624404,6
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,10,Antarctica,ATA,300220,Vaccines; for human medicine,8,Weight in kilograms,0,0,3380,0
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,32,Argentina,ARG,300220,Vaccines; for human medicine,8,Weight in kilograms,12578,12578,1664320,0
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,36,Australia,AUS,300220,Vaccines; for human medicine,8,Weight in kilograms,3748,,5624404,6
H5,2021,2021,2021,6,1,4,Re-Import,36,Australia,AUS,36,Australia,AUS,300220,Vaccines; for human medicine,8,Weight in kilograms,3748,,5624404,6
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,40,Austria,AUT,300220,Vaccines; for human medicine,8,Weight in kilograms,66,,99479,6
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,48,Bahrain,BHR,300220,Vaccines; for human medicine,8,Weight in kilograms,0,0,29206,0
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,727495,,1091442454,6
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,6100,6100,2235161,0
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,100,Bulgaria,BGR,300220,Vaccines; for human medicine,8,Weight in kilograms,10,,16483,6
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,124,Canada,CAN,300220,Vaccines; for human medicine,8,Weight in kilograms,3696,,5545969,6
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,124,Canada,CAN,300220,Vaccines; for human medicine,8,Weight in kilograms,2842,2842,229312,0
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,156,China,CHN,300220,Vaccines; for human medicine,8,Weight in kilograms,14,,21338,6
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,156,China,CHN,300220,Vaccines; for human medicine,8,Weight in kilograms,3,3,11671,0
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,162,Christmas Isds,CXR,300220,Vaccines; for human medicine,8,Weight in kilograms,117,117,56593,0
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,166,Cocos Isds,CCK,300220,Vaccines; for human medicine,8,Weight in kilograms,64,64,16859,0
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,208,Denmark,DNK,300220,Vaccines; for human medicine,8,Weight in kilograms,2045,,3069145,6
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,242,Fiji,FJI,300220,Vaccines; for human medicine,8,Weight in kilograms,232,232,78406,0
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,10606,,15913192,6
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,276,Germany,DEU,300220,Vaccines; for human medicine,8,Weight in kilograms,28392,,42597179,6
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,276,Germany,DEU,300220,Vaccines; for human medicine,8,Weight in kilograms,17548,17548,35954288,0
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,288,Ghana,GHA,300220,Vaccines; for human medicine,8,Weight in kilograms,10,10,2653,0
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,344,"China, Hong Kong SAR",HKG,300220,Vaccines; for human medicine,8,Weight in kilograms,100,100,13611,0
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,360,Indonesia,IDN,300220,Vaccines; for human medicine,8,Weight in kilograms,6,,10111,6
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,360,Indonesia,IDN,300220,Vaccines; for human medicine,8,Weight in kilograms,9570,9570,19844890,0
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,372,Ireland,IRL,300220,Vaccines; for human medicine,8,Weight in kilograms,46882,,70336563,6
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,376,Israel,ISR,300220,Vaccines; for human medicine,8,Weight in kilograms,560,560,101384,0
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,381,Italy,ITA,300220,Vaccines; for human medicine,8,Weight in kilograms,22543,,33821519,6
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,410,Rep. of Korea,KOR,300220,Vaccines; for human medicine,8,Weight in kilograms,64543,,96832970,6
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,418,Lao People's Dem. Rep.,LAO,300220,Vaccines; for human medicine,8,Weight in kilograms,925,925,389115,0
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,520,Nauru,NRU,300220,Vaccines; for human medicine,8,Weight in kilograms,20,20,35078,0
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,528,Netherlands,NLD,300220,Vaccines; for human medicine,8,Weight in kilograms,1353,,2030622,6
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,548,Vanuatu,VUT,300220,Vaccines; for human medicine,8,Weight in kilograms,45,45,116734,0
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,554,New Zealand,NZL,300220,Vaccines; for human medicine,8,Weight in kilograms,5273,5273,1166311,0
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,574,Norfolk Isds,NFK,300220,Vaccines; for human medicine,8,Weight in kilograms,112,112,151127,0
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,598,Papua New Guinea,PNG,300220,Vaccines; for human medicine,8,Weight in kilograms,151,151,57364,0
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,608,Philippines,PHL,300220,Vaccines; for human medicine,8,Weight in kilograms,1,,1933,6
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,608,Philippines,PHL,300220,Vaccines; for human medicine,8,Weight in kilograms,1440,1440,2723808,0
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,626,Timor-Leste,TLS,300220,Vaccines; for human medicine,8,Weight in kilograms,229,229,79325,0
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,699,India,IND,300220,Vaccines; for human medicine,8,Weight in kilograms,66,,100037,6
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,702,Singapore,SGP,300220,Vaccines; for human medicine,8,Weight in kilograms,3,,4885,6
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,702,Singapore,SGP,300220,Vaccines; for human medicine,8,Weight in kilograms,32,32,21041,0
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,704,Viet Nam,VNM,300220,Vaccines; for human medicine,8,Weight in kilograms,4880,4880,11972176,0
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,724,Spain,ESP,300220,Vaccines; for human medicine,8,Weight in kilograms,181401,,272151454,6
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,757,Switzerland,CHE,300220,Vaccines; for human medicine,8,Weight in kilograms,13559,,20342308,6
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,764,Thailand,THA,300220,Vaccines; for human medicine,8,Weight in kilograms,498,,748100,6
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,826,United Kingdom,GBR,300220,Vaccines; for human medicine,8,Weight in kilograms,33181,,49780718,6
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,826,United Kingdom,GBR,300220,Vaccines; for human medicine,8,Weight in kilograms,487,487,54431,0
H5,2021,2021,2021,6,1,1,Import,36,Australia,AUS,842,USA,USA,300220,Vaccines; for human medicine,8,Weight in kilograms,44840,,67273389,6
H5,2021,2021,2021,6,1,2,Export,36,Australia,AUS,842,USA,USA,300220,Vaccines; for human medicine,8,Weight in kilograms,23715,23715,48178644,0
H5,2021,2021,2021,6,1,1,Import,51,Armenia,ARM,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,13654,13654,20573923,0
H5,2021,2021,2021,6,1,2,Export,51,Armenia,ARM,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,7,7,5673,0
H5,2021,2021,2021,6,1,3,Re-Export,51,Armenia,ARM,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,7,7,5673,0
H5,2021,2021,2021,6,1,1,Import,51,Armenia,ARM,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,1966,1966,1082401,0
H5,2021,2021,2021,6,1,1,Import,51,Armenia,ARM,100,Bulgaria,BGR,300220,Vaccines; for human medicine,8,Weight in kilograms,123,123,22703,0
H5,2021,2021,2021,6,1,1,Import,51,Armenia,ARM,124,Canada,CAN,300220,Vaccines; for human medicine,8,Weight in kilograms,88,88,379773,0
H5,2021,2021,2021,6,1,1,Import,51,Armenia,ARM,156,China,CHN,300220,Vaccines; for human medicine,8,Weight in kilograms,6387,6387,10692024,0
H5,2021,2021,2021,6,1,1,Import,51,Armenia,ARM,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,3606,3606,4090172,0
