Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,39527,39527,1581466,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,40,Austria,AUT,300220,"Vaccines, human use",8,Weight in kilograms,498,498,23053,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,58,Belgium-Luxembourg,BEL,300220,"Vaccines, human use",8,Weight in kilograms,704,704,108071,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,124,Canada,CAN,300220,"Vaccines, human use",8,Weight in kilograms,195,195,10497,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,156,China,CHN,300220,"Vaccines, human use",8,Weight in kilograms,1562,1562,54988,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,196,Cyprus,CYP,300220,"Vaccines, human use",8,Weight in kilograms,1948,1948,47349,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,208,Denmark,DNK,300220,"Vaccines, human use",8,Weight in kilograms,968,968,98493,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,251,France,FRA,300220,"Vaccines, human use",8,Weight in kilograms,1068,1068,559265,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,276,Germany,DEU,300220,"Vaccines, human use",8,Weight in kilograms,855,855,35132,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,300,Greece,GRC,300220,"Vaccines, human use",8,Weight in kilograms,173,173,8015,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,348,Hungary,HUN,300220,"Vaccines, human use",8,Weight in kilograms,81,81,6075,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,372,Ireland,IRL,300220,"Vaccines, human use",8,Weight in kilograms,414,414,18412,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,381,Italy,ITA,300220,"Vaccines, human use",8,Weight in kilograms,876,876,41540,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,620,Portugal,PRT,300220,"Vaccines, human use",8,Weight in kilograms,10,10,1049,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,699,India,IND,300220,"Vaccines, human use",8,Weight in kilograms,1040,1040,23005,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,705,Slovenia,SVN,300220,"Vaccines, human use",8,Weight in kilograms,6963,6963,223152,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,757,Switzerland,CHE,300220,"Vaccines, human use",8,Weight in kilograms,4300,4300,155830,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,826,United Kingdom,GBR,300220,"Vaccines, human use",8,Weight in kilograms,992,992,7279,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,842,USA,USA,300220,"Vaccines, human use",8,Weight in kilograms,990,990,21437,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,891,Serbia and Montenegro,SCG,300220,"Vaccines, human use",8,Weight in kilograms,15888,15888,138765,0
H1,1997,1997,1997,6,1,1,Import,8,Albania,ALB,899,"Areas, nes","",300220,"Vaccines, human use",8,Weight in kilograms,2,2,59,0
H1,1997,1997,1997,6,1,1,Import,12,Algeria,DZA,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,124054,124054,4711977,0
H1,1997,1997,1997,6,1,2,Export,12,Algeria,DZA,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,585,585,27502,0
H1,1997,1997,1997,6,1,1,Import,12,Algeria,DZA,58,Belgium-Luxembourg,BEL,300220,"Vaccines, human use",8,Weight in kilograms,3647,3647,424009,0
H1,1997,1997,1997,6,1,2,Export,12,Algeria,DZA,120,Cameroon,CMR,300220,"Vaccines, human use",8,Weight in kilograms,15,15,642,0
H1,1997,1997,1997,6,1,1,Import,12,Algeria,DZA,251,France,FRA,300220,"Vaccines, human use",8,Weight in kilograms,55140,55140,2569606,0
