Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H3,2011,2011,2011,6,1,1,Import,8,Albania,ALB,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,2137,2137,3730960,0
H3,2011,2011,2011,6,1,1,Import,8,Albania,ALB,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,643,643,2596750,0
H3,2011,2011,2011,6,1,1,Import,8,Albania,ALB,276,Germany,DEU,300220,Vaccines for human medicine,8,Weight in kilograms,225,225,129387,0
H3,2011,2011,2011,6,1,1,Import,8,Albania,ALB,381,Italy,ITA,300220,Vaccines for human medicine,8,Weight in kilograms,10,10,24875,0
H3,2011,2011,2011,6,1,1,Import,8,Albania,ALB,410,Rep. of Korea,KOR,300220,Vaccines for human medicine,8,Weight in kilograms,998,998,533616,0
H3,2011,2011,2011,6,1,1,Import,8,Albania,ALB,528,Netherlands,NLD,300220,Vaccines for human medicine,8,Weight in kilograms,17,17,137484,0
H3,2011,2011,2011,6,1,1,Import,8,Albania,ALB,699,India,IND,300220,Vaccines for human medicine,8,Weight in kilograms,49,49,179969,0
H3,2011,2011,2011,6,1,1,Import,8,Albania,ALB,826,United Kingdom,GBR,300220,Vaccines for human medicine,8,Weight in kilograms,179,179,102938,0
H3,2011,2011,2011,6,1,1,Import,8,Albania,ALB,842,USA,USA,300220,Vaccines for human medicine,8,Weight in kilograms,16,16,25941,0
H3,2011,2011,2011,6,1,1,Import,12,Algeria,DZA,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,163813,163813,60027504,0
H3,2011,2011,2011,6,1,2,Export,12,Algeria,DZA,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,5,5,48,0
H3,2011,2011,2011,6,1,1,Import,12,Algeria,DZA,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,1004,1004,2199769,0
H3,2011,2011,2011,6,1,1,Import,12,Algeria,DZA,124,Canada,CAN,300220,Vaccines for human medicine,8,Weight in kilograms,14192,14192,24436226,0
H3,2011,2011,2011,6,1,1,Import,12,Algeria,DZA,192,Cuba,CUB,300220,Vaccines for human medicine,8,Weight in kilograms,3181,3181,273389,0
H3,2011,2011,2011,6,1,2,Export,12,Algeria,DZA,192,Cuba,CUB,300220,Vaccines for human medicine,8,Weight in kilograms,5,5,48,0
H3,2011,2011,2011,6,1,1,Import,12,Algeria,DZA,208,Denmark,DNK,300220,Vaccines for human medicine,8,Weight in kilograms,62,62,239680,0
H3,2011,2011,2011,6,1,1,Import,12,Algeria,DZA,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,107538,107538,30073493,0
H3,2011,2011,2011,6,1,1,Import,12,Algeria,DZA,276,Germany,DEU,300220,Vaccines for human medicine,8,Weight in kilograms,1254,1254,23866,0
H3,2011,2011,2011,6,1,1,Import,12,Algeria,DZA,381,Italy,ITA,300220,Vaccines for human medicine,8,Weight in kilograms,45,45,3190,0
H3,2011,2011,2011,6,1,1,Import,12,Algeria,DZA,392,Japan,JPN,300220,Vaccines for human medicine,8,Weight in kilograms,4,4,612,0
H3,2011,2011,2011,6,1,1,Import,12,Algeria,DZA,699,India,IND,300220,Vaccines for human medicine,8,Weight in kilograms,36528,36528,2777089,0
H3,2011,2011,2011,6,1,1,Import,12,Algeria,DZA,724,Spain,ESP,300220,Vaccines for human medicine,8,Weight in kilograms,5,5,190,0
H3,2011,2011,2011,6,1,1,Import,20,Andorra,AND,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,3758,3758,1123371,0
H3,2011,2011,2011,6,1,1,Import,20,Andorra,AND,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,2939,2939,864642,0
H3,2011,2011,2011,6,1,1,Import,20,Andorra,AND,276,Germany,DEU,300220,Vaccines for human medicine,8,Weight in kilograms,1,1,72,0
H3,2011,2011,2011,6,1,1,Import,20,Andorra,AND,724,Spain,ESP,300220,Vaccines for human medicine,8,Weight in kilograms,818,818,258657,0
H3,2011,2011,2011,6,1,1,Import,24,Angola,AGO,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,123554,123554,19686649,0
H3,2011,2011,2011,6,1,1,Import,24,Angola,AGO,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,4553,4553,1062851,0
H3,2011,2011,2011,6,1,1,Import,24,Angola,AGO,208,Denmark,DNK,300220,Vaccines for human medicine,8,Weight in kilograms,16639,16639,3774152,0
H3,2011,2011,2011,6,1,1,Import,24,Angola,AGO,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,3186,3186,1819292,0
H3,2011,2011,2011,6,1,1,Import,24,Angola,AGO,276,Germany,DEU,300220,Vaccines for human medicine,8,Weight in kilograms,1583,1583,125819,0
H3,2011,2011,2011,6,1,1,Import,24,Angola,AGO,381,Italy,ITA,300220,Vaccines for human medicine,8,Weight in kilograms,5,5,264,0
H3,2011,2011,2011,6,1,1,Import,24,Angola,AGO,620,Portugal,PRT,300220,Vaccines for human medicine,8,Weight in kilograms,6445,6445,2510597,0
H3,2011,2011,2011,6,1,1,Import,24,Angola,AGO,699,India,IND,300220,Vaccines for human medicine,8,Weight in kilograms,81508,81508,9439120,0
H3,2011,2011,2011,6,1,1,Import,24,Angola,AGO,710,South Africa,ZAF,300220,Vaccines for human medicine,8,Weight in kilograms,6984,6984,293598,0
H3,2011,2011,2011,6,1,1,Import,24,Angola,AGO,826,United Kingdom,GBR,300220,Vaccines for human medicine,8,Weight in kilograms,282,282,85737,0
H3,2011,2011,2011,6,1,1,Import,24,Angola,AGO,842,USA,USA,300220,Vaccines for human medicine,8,Weight in kilograms,2369,2369,575220,0
H3,2011,2011,2011,6,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,19096,19096,7461225,0
H3,2011,2011,2011,6,1,2,Export,31,Azerbaijan,AZE,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,18,18,20725,0
H3,2011,2011,2011,6,1,1,Import,31,Azerbaijan,AZE,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,2999,2999,3053674,0
H3,2011,2011,2011,6,1,1,Import,31,Azerbaijan,AZE,203,Czechia,CZE,300220,Vaccines for human medicine,8,Weight in kilograms,314,314,34541,0
H3,2011,2011,2011,6,1,1,Import,31,Azerbaijan,AZE,208,Denmark,DNK,300220,Vaccines for human medicine,8,Weight in kilograms,10171,10171,1442473,0
H3,2011,2011,2011,6,1,1,Import,31,Azerbaijan,AZE,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,1039,1039,372498,0
H3,2011,2011,2011,6,1,1,Import,31,Azerbaijan,AZE,276,Germany,DEU,300220,Vaccines for human medicine,8,Weight in kilograms,45,45,20520,0
H3,2011,2011,2011,6,1,1,Import,31,Azerbaijan,AZE,528,Netherlands,NLD,300220,Vaccines for human medicine,8,Weight in kilograms,135,135,2143,0
H3,2011,2011,2011,6,1,1,Import,31,Azerbaijan,AZE,643,Russian Federation,RUS,300220,Vaccines for human medicine,8,Weight in kilograms,882,882,517711,0
H3,2011,2011,2011,6,1,1,Import,31,Azerbaijan,AZE,699,India,IND,300220,Vaccines for human medicine,8,Weight in kilograms,3198,3198,1932265,0
H3,2011,2011,2011,6,1,1,Import,31,Azerbaijan,AZE,804,Ukraine,UKR,300220,Vaccines for human medicine,8,Weight in kilograms,305,305,52921,0
H3,2011,2011,2011,6,1,2,Export,31,Azerbaijan,AZE,804,Ukraine,UKR,300220,Vaccines for human medicine,8,Weight in kilograms,18,18,20725,0
H3,2011,2011,2011,6,1,1,Import,31,Azerbaijan,AZE,842,USA,USA,300220,Vaccines for human medicine,8,Weight in kilograms,5,5,17000,0
H3,2011,2011,2011,6,1,1,Import,31,Azerbaijan,AZE,860,Uzbekistan,UZB,300220,Vaccines for human medicine,8,Weight in kilograms,3,3,15480,0
H3,2011,2011,2011,6,1,1,Import,32,Argentina,ARG,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,216435,216435,90653974,0
H3,2011,2011,2011,6,1,2,Export,32,Argentina,ARG,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,9081,9081,799787,0
H3,2011,2011,2011,6,1,1,Import,32,Argentina,ARG,36,Australia,AUS,300220,Vaccines for human medicine,8,Weight in kilograms,1678,1678,581918,0
H3,2011,2011,2011,6,1,1,Import,32,Argentina,ARG,40,Austria,AUT,300220,Vaccines for human medicine,8,Weight in kilograms,2668,2668,4005203,0
H3,2011,2011,2011,6,1,1,Import,32,Argentina,ARG,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,18801,18801,9003896,0
H3,2011,2011,2011,6,1,2,Export,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,300220,Vaccines for human medicine,8,Weight in kilograms,616,616,66760,0
H3,2011,2011,2011,6,1,1,Import,32,Argentina,ARG,124,Canada,CAN,300220,Vaccines for human medicine,8,Weight in kilograms,193,193,152485,0
H3,2011,2011,2011,6,1,2,Export,32,Argentina,ARG,170,Colombia,COL,300220,Vaccines for human medicine,8,Weight in kilograms,41,41,33904,0
H3,2011,2011,2011,6,1,1,Import,32,Argentina,ARG,192,Cuba,CUB,300220,Vaccines for human medicine,8,Weight in kilograms,14979,14979,2677436,0
H3,2011,2011,2011,6,1,1,Import,32,Argentina,ARG,208,Denmark,DNK,300220,Vaccines for human medicine,8,Weight in kilograms,17,17,41755,0
H3,2011,2011,2011,6,1,2,Export,32,Argentina,ARG,214,Dominican Rep.,DOM,300220,Vaccines for human medicine,8,Weight in kilograms,45,45,16500,0
H3,2011,2011,2011,6,1,2,Export,32,Argentina,ARG,218,Ecuador,ECU,300220,Vaccines for human medicine,8,Weight in kilograms,55,55,28740,0
H3,2011,2011,2011,6,1,1,Import,32,Argentina,ARG,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,22531,22531,4579590,0
H3,2011,2011,2011,6,1,1,Import,32,Argentina,ARG,276,Germany,DEU,300220,Vaccines for human medicine,8,Weight in kilograms,8068,8068,1684300,0
H3,2011,2011,2011,6,1,1,Import,32,Argentina,ARG,360,Indonesia,IDN,300220,Vaccines for human medicine,8,Weight in kilograms,28,28,105407,0
H3,2011,2011,2011,6,1,1,Import,32,Argentina,ARG,376,Israel,ISR,300220,Vaccines for human medicine,8,Weight in kilograms,0,0,259,0
H3,2011,2011,2011,6,1,1,Import,32,Argentina,ARG,381,Italy,ITA,300220,Vaccines for human medicine,8,Weight in kilograms,80833,80833,23553758,0
H3,2011,2011,2011,6,1,1,Import,32,Argentina,ARG,392,Japan,JPN,300220,Vaccines for human medicine,8,Weight in kilograms,1235,1235,697106,0
H3,2011,2011,2011,6,1,1,Import,32,Argentina,ARG,528,Netherlands,NLD,300220,Vaccines for human medicine,8,Weight in kilograms,150,150,1330781,0
H3,2011,2011,2011,6,1,2,Export,32,Argentina,ARG,600,Paraguay,PRY,300220,Vaccines for human medicine,8,Weight in kilograms,3125,3125,294823,0
H3,2011,2011,2011,6,1,2,Export,32,Argentina,ARG,604,Peru,PER,300220,Vaccines for human medicine,8,Weight in kilograms,46,46,27500,0
H3,2011,2011,2011,6,1,1,Import,32,Argentina,ARG,699,India,IND,300220,Vaccines for human medicine,8,Weight in kilograms,176,176,29920,0
H3,2011,2011,2011,6,1,2,Export,32,Argentina,ARG,702,Singapore,SGP,300220,Vaccines for human medicine,8,Weight in kilograms,3,3,22,0
H3,2011,2011,2011,6,1,2,Export,32,Argentina,ARG,704,Viet Nam,VNM,300220,Vaccines for human medicine,8,Weight in kilograms,4412,4412,196519,0
H3,2011,2011,2011,6,1,1,Import,32,Argentina,ARG,757,Switzerland,CHE,300220,Vaccines for human medicine,8,Weight in kilograms,1469,1469,1406214,0
H3,2011,2011,2011,6,1,1,Import,32,Argentina,ARG,826,United Kingdom,GBR,300220,Vaccines for human medicine,8,Weight in kilograms,17659,17659,4902129,0
H3,2011,2011,2011,6,1,2,Export,32,Argentina,ARG,826,United Kingdom,GBR,300220,Vaccines for human medicine,8,Weight in kilograms,90,90,39830,0
H3,2011,2011,2011,6,1,1,Import,32,Argentina,ARG,842,USA,USA,300220,Vaccines for human medicine,8,Weight in kilograms,45950,45950,35901818,0
H3,2011,2011,2011,6,1,2,Export,32,Argentina,ARG,858,Uruguay,URY,300220,Vaccines for human medicine,8,Weight in kilograms,649,649,95189,0
H3,2011,2011,2011,6,1,1,Import,36,Australia,AUS,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,861752,861752,404092329,0
H3,2011,2011,2011,6,1,2,Export,36,Australia,AUS,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,334180,334180,177919482,0
H3,2011,2011,2011,6,1,4,Re-Import,36,Australia,AUS,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,4183,4183,261948,0
