Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2012,2012,2012,6,1,1,Import,8,Albania,ALB,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,868,868,1835144,0
H4,2012,2012,2012,6,1,1,Import,8,Albania,ALB,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,394,394,1221137,0
H4,2012,2012,2012,6,1,1,Import,8,Albania,ALB,208,Denmark,DNK,300220,Vaccines; for human medicine,8,Weight in kilograms,13,13,4587,0
H4,2012,2012,2012,6,1,1,Import,8,Albania,ALB,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,114,114,123353,0
H4,2012,2012,2012,6,1,1,Import,8,Albania,ALB,360,Indonesia,IDN,300220,Vaccines; for human medicine,8,Weight in kilograms,3,3,6510,0
H4,2012,2012,2012,6,1,1,Import,8,Albania,ALB,410,Rep. of Korea,KOR,300220,Vaccines; for human medicine,8,Weight in kilograms,171,171,286684,0
H4,2012,2012,2012,6,1,1,Import,8,Albania,ALB,528,Netherlands,NLD,300220,Vaccines; for human medicine,8,Weight in kilograms,6,6,84287,0
H4,2012,2012,2012,6,1,1,Import,8,Albania,ALB,699,India,IND,300220,Vaccines; for human medicine,8,Weight in kilograms,130,130,70490,0
H4,2012,2012,2012,6,1,1,Import,8,Albania,ALB,705,Slovenia,SVN,300220,Vaccines; for human medicine,8,Weight in kilograms,32,32,24837,0
H4,2012,2012,2012,6,1,1,Import,8,Albania,ALB,842,USA,USA,300220,Vaccines; for human medicine,8,Weight in kilograms,5,5,13259,0
H4,2012,2012,2012,6,1,1,Import,12,Algeria,DZA,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,127416,127416,33951074,6
H4,2012,2012,2012,6,1,1,Import,12,Algeria,DZA,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,385,385,487280,0
H4,2012,2012,2012,6,1,1,Import,12,Algeria,DZA,124,Canada,CAN,300220,Vaccines; for human medicine,8,Weight in kilograms,840,840,891862,0
H4,2012,2012,2012,6,1,1,Import,12,Algeria,DZA,191,Croatia,HRV,300220,Vaccines; for human medicine,8,Weight in kilograms,2,2,174,0
H4,2012,2012,2012,6,1,1,Import,12,Algeria,DZA,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,90262,90262,28550572,0
H4,2012,2012,2012,6,1,1,Import,12,Algeria,DZA,276,Germany,DEU,300220,Vaccines; for human medicine,8,Weight in kilograms,4744,4744,848998,0
H4,2012,2012,2012,6,1,1,Import,12,Algeria,DZA,410,Rep. of Korea,KOR,300220,Vaccines; for human medicine,8,Weight in kilograms,4631,4631,271471,0
H4,2012,2012,2012,6,1,1,Import,12,Algeria,DZA,699,India,IND,300220,Vaccines; for human medicine,8,Weight in kilograms,26489,26489,2814560,0
H4,2012,2012,2012,6,1,1,Import,12,Algeria,DZA,818,Egypt,EGY,300220,Vaccines; for human medicine,8,Weight in kilograms,58,58,84770,0
H4,2012,2012,2012,6,1,1,Import,12,Algeria,DZA,826,United Kingdom,GBR,300220,Vaccines; for human medicine,8,Weight in kilograms,0,0,3,6
H4,2012,2012,2012,6,1,1,Import,12,Algeria,DZA,842,USA,USA,300220,Vaccines; for human medicine,8,Weight in kilograms,5,5,1384,6
H4,2012,2012,2012,6,1,1,Import,20,Andorra,AND,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,9372,9372,1552886,0
H4,2012,2012,2012,6,1,1,Import,20,Andorra,AND,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,8879,8879,1351514,0
H4,2012,2012,2012,6,1,1,Import,20,Andorra,AND,724,Spain,ESP,300220,Vaccines; for human medicine,8,Weight in kilograms,487,487,199710,0
H4,2012,2012,2012,6,1,1,Import,20,Andorra,AND,757,Switzerland,CHE,300220,Vaccines; for human medicine,8,Weight in kilograms,6,6,1663,0
H4,2012,2012,2012,6,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,12049,12049,8034294,0
H4,2012,2012,2012,6,1,2,Export,31,Azerbaijan,AZE,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,31,31,49126,0
H4,2012,2012,2012,6,1,1,Import,31,Azerbaijan,AZE,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,776,776,425981,0
H4,2012,2012,2012,6,1,1,Import,31,Azerbaijan,AZE,203,Czechia,CZE,300220,Vaccines; for human medicine,8,Weight in kilograms,292,292,30625,0
H4,2012,2012,2012,6,1,1,Import,31,Azerbaijan,AZE,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,870,870,572862,0
H4,2012,2012,2012,6,1,1,Import,31,Azerbaijan,AZE,268,Georgia,GEO,300220,Vaccines; for human medicine,8,Weight in kilograms,271,271,438000,0
H4,2012,2012,2012,6,1,1,Import,31,Azerbaijan,AZE,348,Hungary,HUN,300220,Vaccines; for human medicine,8,Weight in kilograms,14,14,43519,0
H4,2012,2012,2012,6,1,1,Import,31,Azerbaijan,AZE,392,Japan,JPN,300220,Vaccines; for human medicine,8,Weight in kilograms,92,92,84201,0
H4,2012,2012,2012,6,1,1,Import,31,Azerbaijan,AZE,410,Rep. of Korea,KOR,300220,Vaccines; for human medicine,8,Weight in kilograms,1680,1680,413980,0
H4,2012,2012,2012,6,1,1,Import,31,Azerbaijan,AZE,528,Netherlands,NLD,300220,Vaccines; for human medicine,8,Weight in kilograms,153,153,26863,0
H4,2012,2012,2012,6,1,1,Import,31,Azerbaijan,AZE,643,Russian Federation,RUS,300220,Vaccines; for human medicine,8,Weight in kilograms,1707,1707,1095766,0
H4,2012,2012,2012,6,1,1,Import,31,Azerbaijan,AZE,699,India,IND,300220,Vaccines; for human medicine,8,Weight in kilograms,5709,5709,4784493,0
