Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,72622,72622,3771243,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,48,Bahrain,BHR,300220,"Vaccines, human use",8,Weight in kilograms,500,500,72389,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,56,Belgium,BEL,300220,"Vaccines, human use",8,Weight in kilograms,21416,21416,1148479,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,196,Cyprus,CYP,300220,"Vaccines, human use",8,Weight in kilograms,68,68,30569,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,203,Czechia,CZE,300220,"Vaccines, human use",8,Weight in kilograms,20,20,1048,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,208,Denmark,DNK,300220,"Vaccines, human use",8,Weight in kilograms,5291,5291,355195,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,251,France,FRA,300220,"Vaccines, human use",8,Weight in kilograms,50,50,34481,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,276,Germany,DEU,300220,"Vaccines, human use",8,Weight in kilograms,8228,8228,276678,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,300,Greece,GRC,300220,"Vaccines, human use",8,Weight in kilograms,485,485,118864,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,348,Hungary,HUN,300220,"Vaccines, human use",8,Weight in kilograms,167,167,304645,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,381,Italy,ITA,300220,"Vaccines, human use",8,Weight in kilograms,387,387,40193,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,400,Jordan,JOR,300220,"Vaccines, human use",8,Weight in kilograms,1430,1430,41074,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,408,Dem. People's Rep. of Korea,PRK,300220,"Vaccines, human use",8,Weight in kilograms,9,9,23006,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,410,Rep. of Korea,KOR,300220,"Vaccines, human use",8,Weight in kilograms,32,32,78519,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,528,Netherlands,NLD,300220,"Vaccines, human use",8,Weight in kilograms,3118,3118,196758,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,586,Pakistan,PAK,300220,"Vaccines, human use",8,Weight in kilograms,299,299,19047,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,682,Saudi Arabia,SAU,300220,"Vaccines, human use",8,Weight in kilograms,4248,4248,27971,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,699,India,IND,300220,"Vaccines, human use",8,Weight in kilograms,78,78,15674,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,757,Switzerland,CHE,300220,"Vaccines, human use",8,Weight in kilograms,1772,1772,117510,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,784,United Arab Emirates,ARE,300220,"Vaccines, human use",8,Weight in kilograms,10162,10162,449537,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,792,Turkey,TUR,300220,"Vaccines, human use",8,Weight in kilograms,21,21,11238,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,818,Egypt,EGY,300220,"Vaccines, human use",8,Weight in kilograms,3735,3735,14767,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,826,United Kingdom,GBR,300220,"Vaccines, human use",8,Weight in kilograms,3153,3153,223739,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,842,USA,USA,300220,"Vaccines, human use",8,Weight in kilograms,6870,6870,169508,0
H1,1999,1999,1999,6,1,1,Import,8,Albania,ALB,899,"Areas, nes","",300220,"Vaccines, human use",8,Weight in kilograms,1083,1083,354,0
H1,1999,1999,1999,6,1,1,Import,12,Algeria,DZA,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,99329,99329,4445731,0
H1,1999,1999,1999,6,1,2,Export,12,Algeria,DZA,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,680,680,27147,0
H1,1999,1999,1999,6,1,1,Import,12,Algeria,DZA,40,Austria,AUT,300220,"Vaccines, human use",8,Weight in kilograms,156,156,216205,0
H1,1999,1999,1999,6,1,1,Import,12,Algeria,DZA,56,Belgium,BEL,300220,"Vaccines, human use",8,Weight in kilograms,20236,20236,1093157,0
H1,1999,1999,1999,6,1,1,Import,12,Algeria,DZA,251,France,FRA,300220,"Vaccines, human use",8,Weight in kilograms,25963,25963,1777860,0
H1,1999,1999,1999,6,1,2,Export,12,Algeria,DZA,251,France,FRA,300220,"Vaccines, human use",8,Weight in kilograms,680,680,27147,0
H1,1999,1999,1999,6,1,1,Import,12,Algeria,DZA,276,Germany,DEU,300220,"Vaccines, human use",8,Weight in kilograms,2988,2988,78610,0
H1,1999,1999,1999,6,1,1,Import,12,Algeria,DZA,381,Italy,ITA,300220,"Vaccines, human use",8,Weight in kilograms,49897,49897,1222325,0
H1,1999,1999,1999,6,1,1,Import,12,Algeria,DZA,842,USA,USA,300220,"Vaccines, human use",8,Weight in kilograms,89,89,57574,0
H1,1999,1999,1999,6,1,1,Import,20,Andorra,AND,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,16,16,1431,0
H1,1999,1999,1999,6,1,1,Import,20,Andorra,AND,724,Spain,ESP,300220,"Vaccines, human use",8,Weight in kilograms,10,10,1329,0
