Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H5,2018,2018,2018,6,1,1,Import,20,Andorra,AND,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,14250,14250,2415093,0
H5,2018,2018,2018,6,1,1,Import,20,Andorra,AND,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,13149,13149,1872804,0
H5,2018,2018,2018,6,1,1,Import,20,Andorra,AND,724,Spain,ESP,300220,Vaccines; for human medicine,8,Weight in kilograms,1091,1091,530982,0
H5,2018,2018,2018,6,1,1,Import,20,Andorra,AND,757,Switzerland,CHE,300220,Vaccines; for human medicine,8,Weight in kilograms,1,1,101,0
H5,2018,2018,2018,6,1,1,Import,20,Andorra,AND,826,United Kingdom,GBR,300220,Vaccines; for human medicine,8,Weight in kilograms,9,9,11204,0
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,334637,334637,15159387,0
H5,2018,2018,2018,6,1,2,Export,24,Angola,AGO,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,38,38,92,0
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,10233,10233,6330753,0
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,76,Brazil,BRA,300220,Vaccines; for human medicine,8,Weight in kilograms,105,105,68018,0
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,156,China,CHN,300220,Vaccines; for human medicine,8,Weight in kilograms,116466,116466,261790,0
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,208,Denmark,DNK,300220,Vaccines; for human medicine,8,Weight in kilograms,2637,2637,995748,0
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,2439,2439,856373,0
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,376,Israel,ISR,300220,Vaccines; for human medicine,8,Weight in kilograms,4,4,4101,0
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,410,Rep. of Korea,KOR,300220,Vaccines; for human medicine,8,Weight in kilograms,3298,3298,1207428,0
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,516,Namibia,NAM,300220,Vaccines; for human medicine,8,Weight in kilograms,1323,1323,9990,0
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,528,Netherlands,NLD,300220,Vaccines; for human medicine,8,Weight in kilograms,789,789,215620,0
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,620,Portugal,PRT,300220,Vaccines; for human medicine,8,Weight in kilograms,4073,4073,1635304,0
