Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H2,2003,2003,2003,6,1,1,Import,8,Albania,ALB,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,8657,8657,453331,0
H2,2003,2003,2003,6,1,1,Import,8,Albania,ALB,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,51,51,17438,0
H2,2003,2003,2003,6,1,1,Import,8,Albania,ALB,100,Bulgaria,BGR,300220,Vaccines for human medicine,8,Weight in kilograms,30,30,2936,0
H2,2003,2003,2003,6,1,1,Import,8,Albania,ALB,124,Canada,CAN,300220,Vaccines for human medicine,8,Weight in kilograms,34,34,2422,0
H2,2003,2003,2003,6,1,1,Import,8,Albania,ALB,208,Denmark,DNK,300220,Vaccines for human medicine,8,Weight in kilograms,141,141,19451,0
H2,2003,2003,2003,6,1,1,Import,8,Albania,ALB,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,20,20,7777,0
H2,2003,2003,2003,6,1,1,Import,8,Albania,ALB,300,Greece,GRC,300220,Vaccines for human medicine,8,Weight in kilograms,5828,5828,128803,0
H2,2003,2003,2003,6,1,1,Import,8,Albania,ALB,360,Indonesia,IDN,300220,Vaccines for human medicine,8,Weight in kilograms,177,177,3957,0
H2,2003,2003,2003,6,1,1,Import,8,Albania,ALB,381,Italy,ITA,300220,Vaccines for human medicine,8,Weight in kilograms,71,71,16668,0
H2,2003,2003,2003,6,1,1,Import,8,Albania,ALB,699,India,IND,300220,Vaccines for human medicine,8,Weight in kilograms,1316,1316,138991,0
H2,2003,2003,2003,6,1,1,Import,8,Albania,ALB,724,Spain,ESP,300220,Vaccines for human medicine,8,Weight in kilograms,603,603,11003,0
H2,2003,2003,2003,6,1,1,Import,8,Albania,ALB,757,Switzerland,CHE,300220,Vaccines for human medicine,8,Weight in kilograms,33,33,1571,0
H2,2003,2003,2003,6,1,1,Import,8,Albania,ALB,826,United Kingdom,GBR,300220,Vaccines for human medicine,8,Weight in kilograms,153,153,68535,0
H2,2003,2003,2003,6,1,1,Import,8,Albania,ALB,891,Serbia and Montenegro,SCG,300220,Vaccines for human medicine,8,Weight in kilograms,200,200,33779,0
H2,2003,2003,2003,6,1,1,Import,12,Algeria,DZA,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,126637,126637,14681883,0
H2,2003,2003,2003,6,1,2,Export,12,Algeria,DZA,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,920,920,42311,0
H2,2003,2003,2003,6,1,1,Import,12,Algeria,DZA,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,2107,2107,3374846,0
H2,2003,2003,2003,6,1,1,Import,12,Algeria,DZA,192,Cuba,CUB,300220,Vaccines for human medicine,8,Weight in kilograms,17274,17274,2379120,0
H2,2003,2003,2003,6,1,1,Import,12,Algeria,DZA,208,Denmark,DNK,300220,Vaccines for human medicine,8,Weight in kilograms,21,21,27964,0
H2,2003,2003,2003,6,1,1,Import,12,Algeria,DZA,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,5458,5458,1849370,0
H2,2003,2003,2003,6,1,2,Export,12,Algeria,DZA,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,920,920,42311,0
H2,2003,2003,2003,6,1,1,Import,12,Algeria,DZA,276,Germany,DEU,300220,Vaccines for human medicine,8,Weight in kilograms,8550,8550,1111190,0
H2,2003,2003,2003,6,1,1,Import,12,Algeria,DZA,360,Indonesia,IDN,300220,Vaccines for human medicine,8,Weight in kilograms,19161,19161,1569445,0
