Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H2,2006,2006,2006,6,1,1,Import,8,Albania,ALB,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,3848,3848,639532,0
H2,2006,2006,2006,6,1,1,Import,8,Albania,ALB,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,168,168,21865,0
H2,2006,2006,2006,6,1,1,Import,8,Albania,ALB,208,Denmark,DNK,300220,Vaccines for human medicine,8,Weight in kilograms,216,216,57038,0
H2,2006,2006,2006,6,1,1,Import,8,Albania,ALB,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,626,626,206410,0
H2,2006,2006,2006,6,1,1,Import,8,Albania,ALB,276,Germany,DEU,300220,Vaccines for human medicine,8,Weight in kilograms,1,1,78,0
H2,2006,2006,2006,6,1,1,Import,8,Albania,ALB,381,Italy,ITA,300220,Vaccines for human medicine,8,Weight in kilograms,710,710,256288,0
H2,2006,2006,2006,6,1,1,Import,8,Albania,ALB,410,Rep. of Korea,KOR,300220,Vaccines for human medicine,8,Weight in kilograms,48,48,4178,0
H2,2006,2006,2006,6,1,1,Import,8,Albania,ALB,699,India,IND,300220,Vaccines for human medicine,8,Weight in kilograms,1970,1970,74989,0
H2,2006,2006,2006,6,1,1,Import,8,Albania,ALB,757,Switzerland,CHE,300220,Vaccines for human medicine,8,Weight in kilograms,94,94,14871,0
H2,2006,2006,2006,6,1,1,Import,8,Albania,ALB,826,United Kingdom,GBR,300220,Vaccines for human medicine,8,Weight in kilograms,2,2,1292,0
H2,2006,2006,2006,6,1,1,Import,8,Albania,ALB,842,USA,USA,300220,Vaccines for human medicine,8,Weight in kilograms,13,13,2523,0
H2,2006,2006,2006,6,1,1,Import,12,Algeria,DZA,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,56287,56287,10023312,0
H2,2006,2006,2006,6,1,2,Export,12,Algeria,DZA,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,150,150,15073,0
H2,2006,2006,2006,6,1,1,Import,12,Algeria,DZA,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,568,568,1098166,0
H2,2006,2006,2006,6,1,1,Import,12,Algeria,DZA,100,Bulgaria,BGR,300220,Vaccines for human medicine,8,Weight in kilograms,30,30,41100,0
H2,2006,2006,2006,6,1,1,Import,12,Algeria,DZA,192,Cuba,CUB,300220,Vaccines for human medicine,8,Weight in kilograms,4165,4165,16898,0
H2,2006,2006,2006,6,1,1,Import,12,Algeria,DZA,208,Denmark,DNK,300220,Vaccines for human medicine,8,Weight in kilograms,980,980,230380,0
H2,2006,2006,2006,6,1,1,Import,12,Algeria,DZA,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,24957,24957,5433188,0
H2,2006,2006,2006,6,1,1,Import,12,Algeria,DZA,276,Germany,DEU,300220,Vaccines for human medicine,8,Weight in kilograms,2,2,153,0
H2,2006,2006,2006,6,1,1,Import,12,Algeria,DZA,360,Indonesia,IDN,300220,Vaccines for human medicine,8,Weight in kilograms,6489,6489,1102936,0
