Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H3,2010,2010,2010,6,1,1,Import,8,Albania,ALB,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,9594,9594,1627733,0
H3,2010,2010,2010,6,1,1,Import,8,Albania,ALB,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,883,883,539497,0
H3,2010,2010,2010,6,1,1,Import,8,Albania,ALB,208,Denmark,DNK,300220,Vaccines for human medicine,8,Weight in kilograms,215,215,18713,0
H3,2010,2010,2010,6,1,1,Import,8,Albania,ALB,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,78,78,83745,0
H3,2010,2010,2010,6,1,1,Import,8,Albania,ALB,276,Germany,DEU,300220,Vaccines for human medicine,8,Weight in kilograms,1061,1061,431397,0
H3,2010,2010,2010,6,1,1,Import,8,Albania,ALB,348,Hungary,HUN,300220,Vaccines for human medicine,8,Weight in kilograms,200,200,189843,0
H3,2010,2010,2010,6,1,1,Import,8,Albania,ALB,528,Netherlands,NLD,300220,Vaccines for human medicine,8,Weight in kilograms,2684,2684,328974,0
H3,2010,2010,2010,6,1,1,Import,8,Albania,ALB,710,South Africa,ZAF,300220,Vaccines for human medicine,8,Weight in kilograms,8,8,3929,0
H3,2010,2010,2010,6,1,1,Import,8,Albania,ALB,826,United Kingdom,GBR,300220,Vaccines for human medicine,8,Weight in kilograms,4465,4465,31634,0
H3,2010,2010,2010,6,1,1,Import,12,Algeria,DZA,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,57712,57712,15899117,0
H3,2010,2010,2010,6,1,1,Import,12,Algeria,DZA,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,137,137,298039,0
H3,2010,2010,2010,6,1,1,Import,12,Algeria,DZA,124,Canada,CAN,300220,Vaccines for human medicine,8,Weight in kilograms,2904,2904,4922807,0
H3,2010,2010,2010,6,1,1,Import,12,Algeria,DZA,192,Cuba,CUB,300220,Vaccines for human medicine,8,Weight in kilograms,943,943,78603,0
H3,2010,2010,2010,6,1,1,Import,12,Algeria,DZA,208,Denmark,DNK,300220,Vaccines for human medicine,8,Weight in kilograms,1436,1436,713986,0
H3,2010,2010,2010,6,1,1,Import,12,Algeria,DZA,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,35735,35735,8085841,0
H3,2010,2010,2010,6,1,1,Import,12,Algeria,DZA,528,Netherlands,NLD,300220,Vaccines for human medicine,8,Weight in kilograms,1,1,147,0
H3,2010,2010,2010,6,1,1,Import,12,Algeria,DZA,699,India,IND,300220,Vaccines for human medicine,8,Weight in kilograms,16555,16555,1799400,0
H3,2010,2010,2010,6,1,1,Import,12,Algeria,DZA,842,USA,USA,300220,Vaccines for human medicine,8,Weight in kilograms,1,1,294,0
H3,2010,2010,2010,6,1,1,Import,20,Andorra,AND,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,5568,5568,1215752,0
