Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,92495,92495,3395577,0
H1,1998,1998,1998,6,1,2,Export,8,Albania,ALB,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,530,530,18858,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,40,Austria,AUT,300220,"Vaccines, human use",8,Weight in kilograms,2908,2908,77360,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,58,Belgium-Luxembourg,BEL,300220,"Vaccines, human use",8,Weight in kilograms,675,675,28295,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,156,China,CHN,300220,"Vaccines, human use",8,Weight in kilograms,50,50,1706,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,196,Cyprus,CYP,300220,"Vaccines, human use",8,Weight in kilograms,10306,10306,452414,0
H1,1998,1998,1998,6,1,2,Export,8,Albania,ALB,196,Cyprus,CYP,300220,"Vaccines, human use",8,Weight in kilograms,530,530,18858,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,208,Denmark,DNK,300220,"Vaccines, human use",8,Weight in kilograms,3321,3321,307461,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,246,Finland,FIN,300220,"Vaccines, human use",8,Weight in kilograms,27,27,6212,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,251,France,FRA,300220,"Vaccines, human use",8,Weight in kilograms,658,658,43070,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,276,Germany,DEU,300220,"Vaccines, human use",8,Weight in kilograms,1090,1090,106751,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,300,Greece,GRC,300220,"Vaccines, human use",8,Weight in kilograms,330,330,13035,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,348,Hungary,HUN,300220,"Vaccines, human use",8,Weight in kilograms,256,256,9408,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,381,Italy,ITA,300220,"Vaccines, human use",8,Weight in kilograms,4513,4513,391612,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,400,Jordan,JOR,300220,"Vaccines, human use",8,Weight in kilograms,17500,17500,9329,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,470,Malta,MLT,300220,"Vaccines, human use",8,Weight in kilograms,15000,15000,998933,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,528,Netherlands,NLD,300220,"Vaccines, human use",8,Weight in kilograms,20400,20400,116629,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,616,Poland,POL,300220,"Vaccines, human use",8,Weight in kilograms,420,420,31209,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,699,India,IND,300220,"Vaccines, human use",8,Weight in kilograms,115,115,2719,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,705,Slovenia,SVN,300220,"Vaccines, human use",8,Weight in kilograms,9426,9426,402006,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,757,Switzerland,CHE,300220,"Vaccines, human use",8,Weight in kilograms,3361,3361,275151,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,792,Turkey,TUR,300220,"Vaccines, human use",8,Weight in kilograms,120,120,9031,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,826,United Kingdom,GBR,300220,"Vaccines, human use",8,Weight in kilograms,1244,1244,95833,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,842,USA,USA,300220,"Vaccines, human use",8,Weight in kilograms,726,726,12324,0
H1,1998,1998,1998,6,1,1,Import,8,Albania,ALB,858,Uruguay,URY,300220,"Vaccines, human use",8,Weight in kilograms,49,49,5089,0
H1,1998,1998,1998,6,1,1,Import,12,Algeria,DZA,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,70940,70940,2939208,0
H1,1998,1998,1998,6,1,2,Export,12,Algeria,DZA,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,700,700,28639,0
