Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H0,1991,1991,1991,6,1,1,Import,36,Australia,AUS,0,World,WLD,300220,"Vaccines, human use",1,No Quantity,0,0,11432162,0
H0,1991,1991,1991,6,1,2,Export,36,Australia,AUS,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,66462,66462,10670900,0
H0,1991,1991,1991,6,1,3,Re-Export,36,Australia,AUS,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,53816,53816,8252351,0
H0,1991,1991,1991,6,1,2,Export,36,Australia,AUS,32,Argentina,ARG,300220,"Vaccines, human use",8,Weight in kilograms,45,45,1581,0
H0,1991,1991,1991,6,1,1,Import,36,Australia,AUS,58,Belgium-Luxembourg,BEL,300220,"Vaccines, human use",1,No Quantity,0,0,3194606,0
H0,1991,1991,1991,6,1,2,Export,36,Australia,AUS,58,Belgium-Luxembourg,BEL,300220,"Vaccines, human use",8,Weight in kilograms,5,5,85037,0
H0,1991,1991,1991,6,1,2,Export,36,Australia,AUS,90,Solomon Isds,SLB,300220,"Vaccines, human use",8,Weight in kilograms,93,93,15327,0
H0,1991,1991,1991,6,1,3,Re-Export,36,Australia,AUS,90,Solomon Isds,SLB,300220,"Vaccines, human use",8,Weight in kilograms,62,62,12429,0
H0,1991,1991,1991,6,1,2,Export,36,Australia,AUS,96,Brunei Darussalam,BRN,300220,"Vaccines, human use",8,Weight in kilograms,36,36,3104,0
H0,1991,1991,1991,6,1,1,Import,36,Australia,AUS,124,Canada,CAN,300220,"Vaccines, human use",1,No Quantity,0,0,13336,0
H0,1991,1991,1991,6,1,2,Export,36,Australia,AUS,156,China,CHN,300220,"Vaccines, human use",8,Weight in kilograms,1220,1220,317330,0
H0,1991,1991,1991,6,1,3,Re-Export,36,Australia,AUS,156,China,CHN,300220,"Vaccines, human use",8,Weight in kilograms,1220,1220,317330,0
H0,1991,1991,1991,6,1,2,Export,36,Australia,AUS,184,Cook Isds,COK,300220,"Vaccines, human use",8,Weight in kilograms,34,34,8005,0
H0,1991,1991,1991,6,1,3,Re-Export,36,Australia,AUS,184,Cook Isds,COK,300220,"Vaccines, human use",8,Weight in kilograms,34,34,8005,0
