Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H0,1990,1990,1990,6,1,1,Import,36,Australia,AUS,0,World,WLD,300220,"Vaccines, human use",1,No Quantity,0,0,10717126,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,53978,53978,8709033,0
H0,1990,1990,1990,6,1,3,Re-Export,36,Australia,AUS,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,45771,45771,7550442,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,32,Argentina,ARG,300220,"Vaccines, human use",8,Weight in kilograms,5,5,3427,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,40,Austria,AUT,300220,"Vaccines, human use",8,Weight in kilograms,103,103,31762,0
H0,1990,1990,1990,6,1,1,Import,36,Australia,AUS,58,Belgium-Luxembourg,BEL,300220,"Vaccines, human use",1,No Quantity,0,0,5335515,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,96,Brunei Darussalam,BRN,300220,"Vaccines, human use",8,Weight in kilograms,39,39,662,0
H0,1990,1990,1990,6,1,1,Import,36,Australia,AUS,124,Canada,CAN,300220,"Vaccines, human use",1,No Quantity,0,0,4486,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,156,China,CHN,300220,"Vaccines, human use",8,Weight in kilograms,296,296,268353,0
H0,1990,1990,1990,6,1,3,Re-Export,36,Australia,AUS,156,China,CHN,300220,"Vaccines, human use",8,Weight in kilograms,296,296,268353,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,170,Colombia,COL,300220,"Vaccines, human use",8,Weight in kilograms,17,17,11365,0
H0,1990,1990,1990,6,1,1,Import,36,Australia,AUS,208,Denmark,DNK,300220,"Vaccines, human use",1,No Quantity,0,0,2726,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,242,Fiji,FJI,300220,"Vaccines, human use",8,Weight in kilograms,38,38,4695,0
H0,1990,1990,1990,6,1,1,Import,36,Australia,AUS,251,France,FRA,300220,"Vaccines, human use",1,No Quantity,0,0,826941,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,280,Fmr Fed. Rep. of Germany,DEU,300220,"Vaccines, human use",8,Weight in kilograms,16,16,78455,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,296,Kiribati,KIR,300220,"Vaccines, human use",8,Weight in kilograms,78,78,1696,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,344,"China, Hong Kong SAR",HKG,300220,"Vaccines, human use",8,Weight in kilograms,764,764,615705,0
H0,1990,1990,1990,6,1,3,Re-Export,36,Australia,AUS,344,"China, Hong Kong SAR",HKG,300220,"Vaccines, human use",8,Weight in kilograms,581,581,595707,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,348,Hungary,HUN,300220,"Vaccines, human use",8,Weight in kilograms,652,652,195123,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,360,Indonesia,IDN,300220,"Vaccines, human use",8,Weight in kilograms,4,4,1438,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,381,Italy,ITA,300220,"Vaccines, human use",8,Weight in kilograms,5,5,10119,0
H0,1990,1990,1990,6,1,1,Import,36,Australia,AUS,392,Japan,JPN,300220,"Vaccines, human use",1,No Quantity,0,0,8363,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,400,Jordan,JOR,300220,"Vaccines, human use",8,Weight in kilograms,6,6,1394,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,410,Rep. of Korea,KOR,300220,"Vaccines, human use",8,Weight in kilograms,3136,3136,356154,0
H0,1990,1990,1990,6,1,3,Re-Export,36,Australia,AUS,410,Rep. of Korea,KOR,300220,"Vaccines, human use",8,Weight in kilograms,3090,3090,353443,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,454,Malawi,MWI,300220,"Vaccines, human use",8,Weight in kilograms,18,18,1142,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,458,Malaysia,MYS,300220,"Vaccines, human use",8,Weight in kilograms,16,16,2122,0
H0,1990,1990,1990,6,1,1,Import,36,Australia,AUS,490,"Other Asia, nes","",300220,"Vaccines, human use",1,No Quantity,0,0,35966,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,490,"Other Asia, nes","",300220,"Vaccines, human use",8,Weight in kilograms,6193,6193,1114589,0
H0,1990,1990,1990,6,1,3,Re-Export,36,Australia,AUS,490,"Other Asia, nes","",300220,"Vaccines, human use",8,Weight in kilograms,6187,6187,1037467,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,512,Oman,OMN,300220,"Vaccines, human use",8,Weight in kilograms,39,39,2424,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,520,Nauru,NRU,300220,"Vaccines, human use",8,Weight in kilograms,424,424,29380,0
H0,1990,1990,1990,6,1,1,Import,36,Australia,AUS,528,Netherlands,NLD,300220,"Vaccines, human use",1,No Quantity,0,0,859,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,530,Neth. Antilles,ANT,300220,"Vaccines, human use",8,Weight in kilograms,25,25,782,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,554,New Zealand,NZL,300220,"Vaccines, human use",8,Weight in kilograms,4336,4336,494523,0
H0,1990,1990,1990,6,1,3,Re-Export,36,Australia,AUS,554,New Zealand,NZL,300220,"Vaccines, human use",8,Weight in kilograms,1697,1697,198105,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,582,Fmr Pacific Isds,PCI,300220,"Vaccines, human use",8,Weight in kilograms,154,154,25284,0
H0,1990,1990,1990,6,1,3,Re-Export,36,Australia,AUS,582,Fmr Pacific Isds,PCI,300220,"Vaccines, human use",8,Weight in kilograms,154,154,25284,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,598,Papua New Guinea,PNG,300220,"Vaccines, human use",8,Weight in kilograms,1355,1355,173225,0
H0,1990,1990,1990,6,1,3,Re-Export,36,Australia,AUS,598,Papua New Guinea,PNG,300220,"Vaccines, human use",8,Weight in kilograms,3,3,1121,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,608,Philippines,PHL,300220,"Vaccines, human use",8,Weight in kilograms,3425,3425,485788,0
H0,1990,1990,1990,6,1,3,Re-Export,36,Australia,AUS,608,Philippines,PHL,300220,"Vaccines, human use",8,Weight in kilograms,3423,3423,484961,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,702,Singapore,SGP,300220,"Vaccines, human use",8,Weight in kilograms,21988,21988,3576841,0
H0,1990,1990,1990,6,1,3,Re-Export,36,Australia,AUS,702,Singapore,SGP,300220,"Vaccines, human use",8,Weight in kilograms,21323,21323,3549356,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,724,Spain,ESP,300220,"Vaccines, human use",8,Weight in kilograms,133,133,5543,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,740,Suriname,SUR,300220,"Vaccines, human use",8,Weight in kilograms,20,20,2433,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,752,Sweden,SWE,300220,"Vaccines, human use",8,Weight in kilograms,30,30,14216,0
H0,1990,1990,1990,6,1,1,Import,36,Australia,AUS,757,Switzerland,CHE,300220,"Vaccines, human use",1,No Quantity,0,0,142541,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,757,Switzerland,CHE,300220,"Vaccines, human use",8,Weight in kilograms,7,7,7197,0
H0,1990,1990,1990,6,1,2,Export,36,Australia,AUS,764,Thailand,THA,300220,"Vaccines, human use",8,Weight in kilograms,6871,6871,781993,0
H0,1990,1990,1990,6,1,3,Re-Export,36,Australia,AUS,764,Thailand,THA,300220,"Vaccines, human use",8,Weight in kilograms,6871,6871,781993,0
