Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H0,1988,1988,1988,6,1,1,Import,36,Australia,AUS,0,World,WLD,300220,"Vaccines, human use",1,No Quantity,0,0,12637551,0
H0,1988,1988,1988,6,1,2,Export,36,Australia,AUS,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,44830,44830,9532258,0
H0,1988,1988,1988,6,1,3,Re-Export,36,Australia,AUS,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,33346,33346,8390652,0
H0,1988,1988,1988,6,1,2,Export,36,Australia,AUS,32,Argentina,ARG,300220,"Vaccines, human use",8,Weight in kilograms,56,56,19367,0
H0,1988,1988,1988,6,1,1,Import,36,Australia,AUS,58,Belgium-Luxembourg,BEL,300220,"Vaccines, human use",1,No Quantity,0,0,4243405,0
H0,1988,1988,1988,6,1,2,Export,36,Australia,AUS,96,Brunei Darussalam,BRN,300220,"Vaccines, human use",8,Weight in kilograms,67,67,3535,0
H0,1988,1988,1988,6,1,1,Import,36,Australia,AUS,124,Canada,CAN,300220,"Vaccines, human use",1,No Quantity,0,0,27926,0
H0,1988,1988,1988,6,1,2,Export,36,Australia,AUS,124,Canada,CAN,300220,"Vaccines, human use",8,Weight in kilograms,101,101,46500,0
H0,1988,1988,1988,6,1,3,Re-Export,36,Australia,AUS,124,Canada,CAN,300220,"Vaccines, human use",8,Weight in kilograms,100,100,45472,0
H0,1988,1988,1988,6,1,2,Export,36,Australia,AUS,242,Fiji,FJI,300220,"Vaccines, human use",8,Weight in kilograms,78,78,12599,0
H0,1988,1988,1988,6,1,1,Import,36,Australia,AUS,251,France,FRA,300220,"Vaccines, human use",1,No Quantity,0,0,220596,0
H0,1988,1988,1988,6,1,1,Import,36,Australia,AUS,280,Fmr Fed. Rep. of Germany,DEU,300220,"Vaccines, human use",1,No Quantity,0,0,217604,0
H0,1988,1988,1988,6,1,2,Export,36,Australia,AUS,280,Fmr Fed. Rep. of Germany,DEU,300220,"Vaccines, human use",8,Weight in kilograms,3,3,81288,0
H0,1988,1988,1988,6,1,2,Export,36,Australia,AUS,296,Kiribati,KIR,300220,"Vaccines, human use",8,Weight in kilograms,64,64,10723,0
H0,1988,1988,1988,6,1,2,Export,36,Australia,AUS,344,"China, Hong Kong SAR",HKG,300220,"Vaccines, human use",8,Weight in kilograms,1299,1299,183268,0
H0,1988,1988,1988,6,1,3,Re-Export,36,Australia,AUS,344,"China, Hong Kong SAR",HKG,300220,"Vaccines, human use",8,Weight in kilograms,788,788,167970,0
H0,1988,1988,1988,6,1,2,Export,36,Australia,AUS,348,Hungary,HUN,300220,"Vaccines, human use",8,Weight in kilograms,110,110,51978,0
H0,1988,1988,1988,6,1,2,Export,36,Australia,AUS,360,Indonesia,IDN,300220,"Vaccines, human use",8,Weight in kilograms,104,104,21634,0
H0,1988,1988,1988,6,1,1,Import,36,Australia,AUS,381,Italy,ITA,300220,"Vaccines, human use",1,No Quantity,0,0,41160,0
H0,1988,1988,1988,6,1,1,Import,36,Australia,AUS,392,Japan,JPN,300220,"Vaccines, human use",1,No Quantity,0,0,15791,0
H0,1988,1988,1988,6,1,2,Export,36,Australia,AUS,392,Japan,JPN,300220,"Vaccines, human use",8,Weight in kilograms,16,16,4990,0
H0,1988,1988,1988,6,1,2,Export,36,Australia,AUS,458,Malaysia,MYS,300220,"Vaccines, human use",8,Weight in kilograms,193,193,24085,0
H0,1988,1988,1988,6,1,3,Re-Export,36,Australia,AUS,458,Malaysia,MYS,300220,"Vaccines, human use",8,Weight in kilograms,193,193,24085,0
H0,1988,1988,1988,6,1,2,Export,36,Australia,AUS,484,Mexico,MEX,300220,"Vaccines, human use",8,Weight in kilograms,3,3,520,0
H0,1988,1988,1988,6,1,2,Export,36,Australia,AUS,490,"Other Asia, nes","",300220,"Vaccines, human use",8,Weight in kilograms,1823,1823,277529,0
H0,1988,1988,1988,6,1,3,Re-Export,36,Australia,AUS,490,"Other Asia, nes","",300220,"Vaccines, human use",8,Weight in kilograms,1677,1677,249202,0
H0,1988,1988,1988,6,1,2,Export,36,Australia,AUS,512,Oman,OMN,300220,"Vaccines, human use",8,Weight in kilograms,946,946,29658,0
H0,1988,1988,1988,6,1,2,Export,36,Australia,AUS,520,Nauru,NRU,300220,"Vaccines, human use",8,Weight in kilograms,14,14,3792,0
H0,1988,1988,1988,6,1,2,Export,36,Australia,AUS,528,Netherlands,NLD,300220,"Vaccines, human use",8,Weight in kilograms,138,138,374036,0
H0,1988,1988,1988,6,1,2,Export,36,Australia,AUS,548,Vanuatu,VUT,300220,"Vaccines, human use",8,Weight in kilograms,72,72,5582,0
H0,1988,1988,1988,6,1,1,Import,36,Australia,AUS,554,New Zealand,NZL,300220,"Vaccines, human use",1,No Quantity,0,0,365887,0
H0,1988,1988,1988,6,1,2,Export,36,Australia,AUS,554,New Zealand,NZL,300220,"Vaccines, human use",8,Weight in kilograms,11543,11543,1918656,0
