Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H0,1989,1989,1989,6,1,1,Import,36,Australia,AUS,0,World,WLD,300220,"Vaccines, human use",1,No Quantity,0,0,16301592,0
H0,1989,1989,1989,6,1,2,Export,36,Australia,AUS,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,48455,48455,7320404,0
H0,1989,1989,1989,6,1,3,Re-Export,36,Australia,AUS,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,37359,37359,6102522,0
H0,1989,1989,1989,6,1,2,Export,36,Australia,AUS,40,Austria,AUT,300220,"Vaccines, human use",8,Weight in kilograms,63,63,13455,0
H0,1989,1989,1989,6,1,1,Import,36,Australia,AUS,58,Belgium-Luxembourg,BEL,300220,"Vaccines, human use",1,No Quantity,0,0,8014668,0
H0,1989,1989,1989,6,1,2,Export,36,Australia,AUS,90,Solomon Isds,SLB,300220,"Vaccines, human use",8,Weight in kilograms,132,132,21836,0
H0,1989,1989,1989,6,1,3,Re-Export,36,Australia,AUS,90,Solomon Isds,SLB,300220,"Vaccines, human use",8,Weight in kilograms,105,105,19172,0
H0,1989,1989,1989,6,1,1,Import,36,Australia,AUS,124,Canada,CAN,300220,"Vaccines, human use",1,No Quantity,0,0,2365,0
H0,1989,1989,1989,6,1,2,Export,36,Australia,AUS,242,Fiji,FJI,300220,"Vaccines, human use",8,Weight in kilograms,74,74,12210,0
H0,1989,1989,1989,6,1,1,Import,36,Australia,AUS,251,France,FRA,300220,"Vaccines, human use",1,No Quantity,0,0,275361,0
H0,1989,1989,1989,6,1,2,Export,36,Australia,AUS,251,France,FRA,300220,"Vaccines, human use",8,Weight in kilograms,5,5,1162,0
H0,1989,1989,1989,6,1,3,Re-Export,36,Australia,AUS,251,France,FRA,300220,"Vaccines, human use",8,Weight in kilograms,4,4,515,0
H0,1989,1989,1989,6,1,2,Export,36,Australia,AUS,258,French Polynesia,PYF,300220,"Vaccines, human use",8,Weight in kilograms,14,14,1512,0
H0,1989,1989,1989,6,1,3,Re-Export,36,Australia,AUS,258,French Polynesia,PYF,300220,"Vaccines, human use",8,Weight in kilograms,14,14,1512,0
