Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H1,2001,2001,2001,6,1,1,Import,8,Albania,ALB,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,7141,7141,637049,0
H1,2001,2001,2001,6,1,2,Export,8,Albania,ALB,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,15,15,20105,0
H1,2001,2001,2001,6,1,1,Import,8,Albania,ALB,112,Belarus,BLR,300220,"Vaccines, human use",8,Weight in kilograms,16,16,451,0
H1,2001,2001,2001,6,1,1,Import,8,Albania,ALB,124,Canada,CAN,300220,"Vaccines, human use",8,Weight in kilograms,1073,1073,37094,0
H1,2001,2001,2001,6,1,1,Import,8,Albania,ALB,203,Czechia,CZE,300220,"Vaccines, human use",8,Weight in kilograms,5,5,1280,0
H1,2001,2001,2001,6,1,1,Import,8,Albania,ALB,208,Denmark,DNK,300220,"Vaccines, human use",8,Weight in kilograms,622,622,17489,0
H1,2001,2001,2001,6,1,1,Import,8,Albania,ALB,251,France,FRA,300220,"Vaccines, human use",8,Weight in kilograms,532,532,56052,0
H1,2001,2001,2001,6,1,1,Import,8,Albania,ALB,276,Germany,DEU,300220,"Vaccines, human use",8,Weight in kilograms,26,26,13185,0
H1,2001,2001,2001,6,1,1,Import,8,Albania,ALB,300,Greece,GRC,300220,"Vaccines, human use",8,Weight in kilograms,243,243,14362,0
H1,2001,2001,2001,6,1,1,Import,8,Albania,ALB,348,Hungary,HUN,300220,"Vaccines, human use",8,Weight in kilograms,314,314,8160,0
H1,2001,2001,2001,6,1,1,Import,8,Albania,ALB,381,Italy,ITA,300220,"Vaccines, human use",8,Weight in kilograms,458,458,31489,0
H1,2001,2001,2001,6,1,1,Import,8,Albania,ALB,410,Rep. of Korea,KOR,300220,"Vaccines, human use",8,Weight in kilograms,214,214,27566,0
H1,2001,2001,2001,6,1,1,Import,8,Albania,ALB,699,India,IND,300220,"Vaccines, human use",8,Weight in kilograms,3481,3481,415064,0
H1,2001,2001,2001,6,1,1,Import,8,Albania,ALB,757,Switzerland,CHE,300220,"Vaccines, human use",8,Weight in kilograms,148,148,14610,0
H1,2001,2001,2001,6,1,1,Import,8,Albania,ALB,826,United Kingdom,GBR,300220,"Vaccines, human use",8,Weight in kilograms,1,1,133,0
H1,2001,2001,2001,6,1,1,Import,8,Albania,ALB,842,USA,USA,300220,"Vaccines, human use",8,Weight in kilograms,8,8,115,0
H1,2001,2001,2001,6,1,2,Export,8,Albania,ALB,842,USA,USA,300220,"Vaccines, human use",8,Weight in kilograms,15,15,20105,0
H1,2001,2001,2001,6,1,1,Import,12,Algeria,DZA,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,135149,135149,6913315,0
H1,2001,2001,2001,6,1,2,Export,12,Algeria,DZA,0,World,WLD,300220,"Vaccines, human use",8,Weight in kilograms,600,600,22438,0
H1,2001,2001,2001,6,1,1,Import,12,Algeria,DZA,56,Belgium,BEL,300220,"Vaccines, human use",8,Weight in kilograms,149,149,67275,0
H1,2001,2001,2001,6,1,1,Import,12,Algeria,DZA,192,Cuba,CUB,300220,"Vaccines, human use",8,Weight in kilograms,6065,6065,851947,0
