Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2014,2014,2014,6,1,1,Import,12,Algeria,DZA,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,119624,119624,30239058,0
H4,2014,2014,2014,6,1,1,Import,12,Algeria,DZA,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,907,907,1433585,0
H4,2014,2014,2014,6,1,1,Import,12,Algeria,DZA,100,Bulgaria,BGR,300220,Vaccines; for human medicine,8,Weight in kilograms,176,176,179626,0
H4,2014,2014,2014,6,1,1,Import,12,Algeria,DZA,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,43752,43752,13188707,0
H4,2014,2014,2014,6,1,1,Import,12,Algeria,DZA,528,Netherlands,NLD,300220,Vaccines; for human medicine,8,Weight in kilograms,6,6,110,0
H4,2014,2014,2014,6,1,1,Import,12,Algeria,DZA,699,India,IND,300220,Vaccines; for human medicine,8,Weight in kilograms,74730,74730,15425761,0
H4,2014,2014,2014,6,1,1,Import,12,Algeria,DZA,842,USA,USA,300220,Vaccines; for human medicine,8,Weight in kilograms,54,54,11270,0
H4,2014,2014,2014,6,1,1,Import,20,Andorra,AND,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,16435,16435,3333752,0
H4,2014,2014,2014,6,1,1,Import,20,Andorra,AND,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,16003,16003,3079152,0
H4,2014,2014,2014,6,1,1,Import,20,Andorra,AND,724,Spain,ESP,300220,Vaccines; for human medicine,8,Weight in kilograms,432,432,254600,0
H4,2014,2014,2014,6,1,1,Import,24,Angola,AGO,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,389711,389711,36693876,0
H4,2014,2014,2014,6,1,1,Import,24,Angola,AGO,36,Australia,AUS,300220,Vaccines; for human medicine,8,Weight in kilograms,53,53,4154,0
H4,2014,2014,2014,6,1,1,Import,24,Angola,AGO,76,Brazil,BRA,300220,Vaccines; for human medicine,8,Weight in kilograms,49,49,27449,0
H4,2014,2014,2014,6,1,1,Import,24,Angola,AGO,156,China,CHN,300220,Vaccines; for human medicine,8,Weight in kilograms,4541,4541,51211,0
H4,2014,2014,2014,6,1,1,Import,24,Angola,AGO,196,Cyprus,CYP,300220,Vaccines; for human medicine,8,Weight in kilograms,8,8,2625,0
H4,2014,2014,2014,6,1,1,Import,24,Angola,AGO,208,Denmark,DNK,300220,Vaccines; for human medicine,8,Weight in kilograms,1,1,397,0
H4,2014,2014,2014,6,1,1,Import,24,Angola,AGO,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,29,29,25550,0
H4,2014,2014,2014,6,1,1,Import,24,Angola,AGO,344,"China, Hong Kong SAR",HKG,300220,Vaccines; for human medicine,8,Weight in kilograms,22,22,19108,0
H4,2014,2014,2014,6,1,1,Import,24,Angola,AGO,360,Indonesia,IDN,300220,Vaccines; for human medicine,8,Weight in kilograms,36509,36509,16747585,0
H4,2014,2014,2014,6,1,1,Import,24,Angola,AGO,392,Japan,JPN,300220,Vaccines; for human medicine,8,Weight in kilograms,378,378,187225,0
