Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,6,1,1,Import,8,Albania,ALB,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,1321,1321,2565901,0
H4,2013,2013,2013,6,1,1,Import,8,Albania,ALB,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,599,599,1974507,0
H4,2013,2013,2013,6,1,1,Import,8,Albania,ALB,208,Denmark,DNK,300220,Vaccines; for human medicine,8,Weight in kilograms,148,148,143225,0
H4,2013,2013,2013,6,1,1,Import,8,Albania,ALB,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,368,368,159969,0
H4,2013,2013,2013,6,1,1,Import,8,Albania,ALB,360,Indonesia,IDN,300220,Vaccines; for human medicine,8,Weight in kilograms,12,12,5362,0
H4,2013,2013,2013,6,1,1,Import,8,Albania,ALB,392,Japan,JPN,300220,Vaccines; for human medicine,8,Weight in kilograms,5,5,5892,0
H4,2013,2013,2013,6,1,1,Import,8,Albania,ALB,410,Rep. of Korea,KOR,300220,Vaccines; for human medicine,8,Weight in kilograms,74,74,176523,0
H4,2013,2013,2013,6,1,1,Import,8,Albania,ALB,528,Netherlands,NLD,300220,Vaccines; for human medicine,8,Weight in kilograms,10,10,18082,0
H4,2013,2013,2013,6,1,1,Import,8,Albania,ALB,699,India,IND,300220,Vaccines; for human medicine,8,Weight in kilograms,35,35,6407,0
H4,2013,2013,2013,6,1,1,Import,8,Albania,ALB,826,United Kingdom,GBR,300220,Vaccines; for human medicine,8,Weight in kilograms,54,54,29063,0
H4,2013,2013,2013,6,1,1,Import,8,Albania,ALB,842,USA,USA,300220,Vaccines; for human medicine,8,Weight in kilograms,15,15,46871,0
H4,2013,2013,2013,6,1,1,Import,12,Algeria,DZA,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,183768,183768,33302293,0
H4,2013,2013,2013,6,1,1,Import,12,Algeria,DZA,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,541,541,517649,0
H4,2013,2013,2013,6,1,1,Import,12,Algeria,DZA,100,Bulgaria,BGR,300220,Vaccines; for human medicine,8,Weight in kilograms,96,96,102139,0
H4,2013,2013,2013,6,1,1,Import,12,Algeria,DZA,208,Denmark,DNK,300220,Vaccines; for human medicine,8,Weight in kilograms,6,6,282,0
H4,2013,2013,2013,6,1,1,Import,12,Algeria,DZA,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,60129,60129,18966184,0
H4,2013,2013,2013,6,1,1,Import,12,Algeria,DZA,410,Rep. of Korea,KOR,300220,Vaccines; for human medicine,8,Weight in kilograms,56480,56480,2390117,0
H4,2013,2013,2013,6,1,1,Import,12,Algeria,DZA,699,India,IND,300220,Vaccines; for human medicine,8,Weight in kilograms,65713,65713,11004381,0
H4,2013,2013,2013,6,1,1,Import,12,Algeria,DZA,724,Spain,ESP,300220,Vaccines; for human medicine,8,Weight in kilograms,9,9,450,0
H4,2013,2013,2013,6,1,1,Import,12,Algeria,DZA,842,USA,USA,300220,Vaccines; for human medicine,8,Weight in kilograms,794,794,321091,0
H4,2013,2013,2013,6,1,1,Import,20,Andorra,AND,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,11998,11998,2581214,0
H4,2013,2013,2013,6,1,1,Import,20,Andorra,AND,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,11663,11663,2392427,0
H4,2013,2013,2013,6,1,1,Import,20,Andorra,AND,705,Slovenia,SVN,300220,Vaccines; for human medicine,8,Weight in kilograms,2,2,194,0
H4,2013,2013,2013,6,1,1,Import,20,Andorra,AND,724,Spain,ESP,300220,Vaccines; for human medicine,8,Weight in kilograms,333,333,188593,0
H4,2013,2013,2013,6,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,23300,23300,9815665,0
H4,2013,2013,2013,6,1,2,Export,31,Azerbaijan,AZE,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,38,38,43808,0
H4,2013,2013,2013,6,1,1,Import,31,Azerbaijan,AZE,40,Austria,AUT,300220,Vaccines; for human medicine,8,Weight in kilograms,20,20,76140,0
H4,2013,2013,2013,6,1,1,Import,31,Azerbaijan,AZE,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,2080,2080,1846228,0
H4,2013,2013,2013,6,1,1,Import,31,Azerbaijan,AZE,156,China,CHN,300220,Vaccines; for human medicine,8,Weight in kilograms,251,251,13675,0
H4,2013,2013,2013,6,1,1,Import,31,Azerbaijan,AZE,203,Czechia,CZE,300220,Vaccines; for human medicine,8,Weight in kilograms,387,387,44422,0
H4,2013,2013,2013,6,1,1,Import,31,Azerbaijan,AZE,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,1345,1345,548533,0
H4,2013,2013,2013,6,1,1,Import,31,Azerbaijan,AZE,268,Georgia,GEO,300220,Vaccines; for human medicine,8,Weight in kilograms,3503,3503,2553146,0
H4,2013,2013,2013,6,1,2,Export,31,Azerbaijan,AZE,268,Georgia,GEO,300220,Vaccines; for human medicine,8,Weight in kilograms,38,38,43808,0
H4,2013,2013,2013,6,1,1,Import,31,Azerbaijan,AZE,392,Japan,JPN,300220,Vaccines; for human medicine,8,Weight in kilograms,23,23,6900,0
H4,2013,2013,2013,6,1,1,Import,31,Azerbaijan,AZE,410,Rep. of Korea,KOR,300220,Vaccines; for human medicine,8,Weight in kilograms,4271,4271,980590,0
H4,2013,2013,2013,6,1,1,Import,31,Azerbaijan,AZE,528,Netherlands,NLD,300220,Vaccines; for human medicine,8,Weight in kilograms,413,413,54600,0
H4,2013,2013,2013,6,1,1,Import,31,Azerbaijan,AZE,643,Russian Federation,RUS,300220,Vaccines; for human medicine,8,Weight in kilograms,3179,3179,679465,0
H4,2013,2013,2013,6,1,1,Import,31,Azerbaijan,AZE,699,India,IND,300220,Vaccines; for human medicine,8,Weight in kilograms,5630,5630,2683285,0
H4,2013,2013,2013,6,1,1,Import,31,Azerbaijan,AZE,792,Turkey,TUR,300220,Vaccines; for human medicine,8,Weight in kilograms,15,15,1879,0
H4,2013,2013,2013,6,1,1,Import,31,Azerbaijan,AZE,826,United Kingdom,GBR,300220,Vaccines; for human medicine,8,Weight in kilograms,2183,2183,326802,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,241599,241599,112899127,0
H4,2013,2013,2013,6,1,2,Export,32,Argentina,ARG,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,8918,8918,1479936,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,36,Australia,AUS,300220,Vaccines; for human medicine,8,Weight in kilograms,515,515,97181,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,40,Austria,AUT,300220,Vaccines; for human medicine,8,Weight in kilograms,593,593,676569,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,20185,20185,9006682,0
H4,2013,2013,2013,6,1,2,Export,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,300220,Vaccines; for human medicine,8,Weight in kilograms,1006,1006,155428,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,124,Canada,CAN,300220,Vaccines; for human medicine,8,Weight in kilograms,696,696,325740,0
H4,2013,2013,2013,6,1,2,Export,32,Argentina,ARG,170,Colombia,COL,300220,Vaccines; for human medicine,8,Weight in kilograms,1673,1673,587190,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,192,Cuba,CUB,300220,Vaccines; for human medicine,8,Weight in kilograms,636,636,34228,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,208,Denmark,DNK,300220,Vaccines; for human medicine,8,Weight in kilograms,11,11,30688,0
H4,2013,2013,2013,6,1,2,Export,32,Argentina,ARG,214,Dominican Rep.,DOM,300220,Vaccines; for human medicine,8,Weight in kilograms,92,92,37154,0
H4,2013,2013,2013,6,1,2,Export,32,Argentina,ARG,218,Ecuador,ECU,300220,Vaccines; for human medicine,8,Weight in kilograms,438,438,128300,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,17458,17458,3404729,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,276,Germany,DEU,300220,Vaccines; for human medicine,8,Weight in kilograms,5540,5540,1010481,0
H4,2013,2013,2013,6,1,2,Export,32,Argentina,ARG,276,Germany,DEU,300220,Vaccines; for human medicine,8,Weight in kilograms,0,0,3,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,360,Indonesia,IDN,300220,Vaccines; for human medicine,8,Weight in kilograms,13,13,83854,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,372,Ireland,IRL,300220,Vaccines; for human medicine,8,Weight in kilograms,696,696,497256,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,376,Israel,ISR,300220,Vaccines; for human medicine,8,Weight in kilograms,0,0,70,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,381,Italy,ITA,300220,Vaccines; for human medicine,8,Weight in kilograms,119116,119116,47194379,0
H4,2013,2013,2013,6,1,2,Export,32,Argentina,ARG,381,Italy,ITA,300220,Vaccines; for human medicine,8,Weight in kilograms,0,0,4,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,410,Rep. of Korea,KOR,300220,Vaccines; for human medicine,8,Weight in kilograms,133,133,39335,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,490,"Other Asia, nes","",300220,Vaccines; for human medicine,8,Weight in kilograms,0,0,272,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,528,Netherlands,NLD,300220,Vaccines; for human medicine,8,Weight in kilograms,196,196,483633,0
H4,2013,2013,2013,6,1,2,Export,32,Argentina,ARG,600,Paraguay,PRY,300220,Vaccines; for human medicine,8,Weight in kilograms,3033,3033,391428,0
H4,2013,2013,2013,6,1,2,Export,32,Argentina,ARG,604,Peru,PER,300220,Vaccines; for human medicine,8,Weight in kilograms,60,60,42545,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,699,India,IND,300220,Vaccines; for human medicine,8,Weight in kilograms,5,5,62500,0
H4,2013,2013,2013,6,1,2,Export,32,Argentina,ARG,704,Viet Nam,VNM,300220,Vaccines; for human medicine,8,Weight in kilograms,2413,2413,123631,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,757,Switzerland,CHE,300220,Vaccines; for human medicine,8,Weight in kilograms,1389,1389,1601080,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,826,United Kingdom,GBR,300220,Vaccines; for human medicine,8,Weight in kilograms,0,0,1170,0
H4,2013,2013,2013,6,1,1,Import,32,Argentina,ARG,842,USA,USA,300220,Vaccines; for human medicine,8,Weight in kilograms,74417,74417,48349279,0
H4,2013,2013,2013,6,1,2,Export,32,Argentina,ARG,858,Uruguay,URY,300220,Vaccines; for human medicine,8,Weight in kilograms,203,203,14254,0
H4,2013,2013,2013,6,1,1,Import,36,Australia,AUS,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,988733,988733,471850126,0
H4,2013,2013,2013,6,1,2,Export,36,Australia,AUS,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,309814,309814,152948113,0
H4,2013,2013,2013,6,1,4,Re-Import,36,Australia,AUS,0,World,WLD,300220,Vaccines; for human medicine,8,Weight in kilograms,1735,1735,153920,0
H4,2013,2013,2013,6,1,2,Export,36,Australia,AUS,10,Antarctica,ATA,300220,Vaccines; for human medicine,8,Weight in kilograms,22,22,237,0
H4,2013,2013,2013,6,1,2,Export,36,Australia,AUS,32,Argentina,ARG,300220,Vaccines; for human medicine,8,Weight in kilograms,1326,1326,81249,0
H4,2013,2013,2013,6,1,1,Import,36,Australia,AUS,36,Australia,AUS,300220,Vaccines; for human medicine,8,Weight in kilograms,1735,1735,153920,0
H4,2013,2013,2013,6,1,4,Re-Import,36,Australia,AUS,36,Australia,AUS,300220,Vaccines; for human medicine,8,Weight in kilograms,1735,1735,153920,0
H4,2013,2013,2013,6,1,1,Import,36,Australia,AUS,40,Austria,AUT,300220,Vaccines; for human medicine,8,Weight in kilograms,342,342,326804,0
H4,2013,2013,2013,6,1,2,Export,36,Australia,AUS,50,Bangladesh,BGD,300220,Vaccines; for human medicine,8,Weight in kilograms,1320,1320,349739,0
H4,2013,2013,2013,6,1,1,Import,36,Australia,AUS,56,Belgium,BEL,300220,Vaccines; for human medicine,8,Weight in kilograms,361941,361941,155983159,0
H4,2013,2013,2013,6,1,1,Import,36,Australia,AUS,60,Bermuda,BMU,300220,Vaccines; for human medicine,8,Weight in kilograms,5651,5651,1076553,0
H4,2013,2013,2013,6,1,2,Export,36,Australia,AUS,76,Brazil,BRA,300220,Vaccines; for human medicine,8,Weight in kilograms,1613,1613,375075,0
H4,2013,2013,2013,6,1,1,Import,36,Australia,AUS,124,Canada,CAN,300220,Vaccines; for human medicine,8,Weight in kilograms,1734,1734,975865,0
H4,2013,2013,2013,6,1,2,Export,36,Australia,AUS,144,Sri Lanka,LKA,300220,Vaccines; for human medicine,8,Weight in kilograms,34,34,5611,0
H4,2013,2013,2013,6,1,1,Import,36,Australia,AUS,156,China,CHN,300220,Vaccines; for human medicine,8,Weight in kilograms,146,146,40364,0
H4,2013,2013,2013,6,1,2,Export,36,Australia,AUS,156,China,CHN,300220,Vaccines; for human medicine,8,Weight in kilograms,84577,84577,29822884,0
H4,2013,2013,2013,6,1,2,Export,36,Australia,AUS,162,Christmas Isds,CXR,300220,Vaccines; for human medicine,8,Weight in kilograms,2204,2204,4107948,0
H4,2013,2013,2013,6,1,2,Export,36,Australia,AUS,166,Cocos Isds,CCK,300220,Vaccines; for human medicine,8,Weight in kilograms,27,27,4826,0
H4,2013,2013,2013,6,1,2,Export,36,Australia,AUS,170,Colombia,COL,300220,Vaccines; for human medicine,8,Weight in kilograms,3048,3048,249225,0
H4,2013,2013,2013,6,1,1,Import,36,Australia,AUS,208,Denmark,DNK,300220,Vaccines; for human medicine,8,Weight in kilograms,10235,10235,5033340,0
H4,2013,2013,2013,6,1,2,Export,36,Australia,AUS,218,Ecuador,ECU,300220,Vaccines; for human medicine,8,Weight in kilograms,198,198,51341,0
H4,2013,2013,2013,6,1,2,Export,36,Australia,AUS,242,Fiji,FJI,300220,Vaccines; for human medicine,8,Weight in kilograms,138,138,22941,0
H4,2013,2013,2013,6,1,1,Import,36,Australia,AUS,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,124760,124760,36468258,0
H4,2013,2013,2013,6,1,2,Export,36,Australia,AUS,251,France,FRA,300220,Vaccines; for human medicine,8,Weight in kilograms,35,35,50478,0
H4,2013,2013,2013,6,1,2,Export,36,Australia,AUS,258,French Polynesia,PYF,300220,Vaccines; for human medicine,8,Weight in kilograms,61,61,21997,0
H4,2013,2013,2013,6,1,1,Import,36,Australia,AUS,276,Germany,DEU,300220,Vaccines; for human medicine,8,Weight in kilograms,18650,18650,3675024,0
H4,2013,2013,2013,6,1,2,Export,36,Australia,AUS,276,Germany,DEU,300220,Vaccines; for human medicine,8,Weight in kilograms,55525,55525,39435579,0
H4,2013,2013,2013,6,1,2,Export,36,Australia,AUS,344,"China, Hong Kong SAR",HKG,300220,Vaccines; for human medicine,8,Weight in kilograms,6344,6344,1211728,0
