Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H3,2008,2008,2008,6,1,1,Import,12,Algeria,DZA,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,125139,125139,21696987,0
H3,2008,2008,2008,6,1,1,Import,12,Algeria,DZA,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,1124,1124,1039161,0
H3,2008,2008,2008,6,1,1,Import,12,Algeria,DZA,100,Bulgaria,BGR,300220,Vaccines for human medicine,8,Weight in kilograms,85,85,124381,0
H3,2008,2008,2008,6,1,1,Import,12,Algeria,DZA,124,Canada,CAN,300220,Vaccines for human medicine,8,Weight in kilograms,35,35,2586,0
H3,2008,2008,2008,6,1,1,Import,12,Algeria,DZA,192,Cuba,CUB,300220,Vaccines for human medicine,8,Weight in kilograms,9048,9048,574545,0
H3,2008,2008,2008,6,1,1,Import,12,Algeria,DZA,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,66198,66198,14383057,0
H3,2008,2008,2008,6,1,1,Import,12,Algeria,DZA,276,Germany,DEU,300220,Vaccines for human medicine,8,Weight in kilograms,90,90,2483,0
H3,2008,2008,2008,6,1,1,Import,12,Algeria,DZA,360,Indonesia,IDN,300220,Vaccines for human medicine,8,Weight in kilograms,5348,5348,1281140,0
H3,2008,2008,2008,6,1,1,Import,12,Algeria,DZA,699,India,IND,300220,Vaccines for human medicine,8,Weight in kilograms,43211,43211,4289634,0
H3,2008,2008,2008,6,1,1,Import,20,Andorra,AND,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,5585,5585,929831,0
H3,2008,2008,2008,6,1,1,Import,20,Andorra,AND,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,5093,5093,775074,0
H3,2008,2008,2008,6,1,1,Import,20,Andorra,AND,724,Spain,ESP,300220,Vaccines for human medicine,8,Weight in kilograms,476,476,150495,0
H3,2008,2008,2008,6,1,1,Import,20,Andorra,AND,757,Switzerland,CHE,300220,Vaccines for human medicine,8,Weight in kilograms,1,1,74,0
H3,2008,2008,2008,6,1,1,Import,20,Andorra,AND,842,USA,USA,300220,Vaccines for human medicine,8,Weight in kilograms,15,15,4188,0
H3,2008,2008,2008,6,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,14395,14395,2298659,0
H3,2008,2008,2008,6,1,1,Import,31,Azerbaijan,AZE,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,337,337,174071,0
H3,2008,2008,2008,6,1,1,Import,31,Azerbaijan,AZE,203,Czechia,CZE,300220,Vaccines for human medicine,8,Weight in kilograms,100,100,20708,0
H3,2008,2008,2008,6,1,1,Import,31,Azerbaijan,AZE,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,1006,1006,352808,0
H3,2008,2008,2008,6,1,1,Import,31,Azerbaijan,AZE,276,Germany,DEU,300220,Vaccines for human medicine,8,Weight in kilograms,81,81,38692,0
H3,2008,2008,2008,6,1,1,Import,31,Azerbaijan,AZE,528,Netherlands,NLD,300220,Vaccines for human medicine,8,Weight in kilograms,300,300,4721,0
H3,2008,2008,2008,6,1,1,Import,31,Azerbaijan,AZE,643,Russian Federation,RUS,300220,Vaccines for human medicine,8,Weight in kilograms,1397,1397,246080,0
H3,2008,2008,2008,6,1,1,Import,31,Azerbaijan,AZE,699,India,IND,300220,Vaccines for human medicine,8,Weight in kilograms,8729,8729,1358890,0
H3,2008,2008,2008,6,1,1,Import,31,Azerbaijan,AZE,757,Switzerland,CHE,300220,Vaccines for human medicine,8,Weight in kilograms,568,568,35940,0
H3,2008,2008,2008,6,1,1,Import,31,Azerbaijan,AZE,804,Ukraine,UKR,300220,Vaccines for human medicine,8,Weight in kilograms,1860,1860,63359,0
H3,2008,2008,2008,6,1,1,Import,31,Azerbaijan,AZE,826,United Kingdom,GBR,300220,Vaccines for human medicine,8,Weight in kilograms,17,17,3390,0
H3,2008,2008,2008,6,1,1,Import,32,Argentina,ARG,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,107130,107130,38942288,6
H3,2008,2008,2008,6,1,2,Export,32,Argentina,ARG,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,8778,8778,835403,6
H3,2008,2008,2008,6,1,1,Import,32,Argentina,ARG,36,Australia,AUS,300220,Vaccines for human medicine,8,Weight in kilograms,2335,2335,533649,0
H3,2008,2008,2008,6,1,1,Import,32,Argentina,ARG,40,Austria,AUT,300220,Vaccines for human medicine,8,Weight in kilograms,1176,1176,1570159,0
H3,2008,2008,2008,6,1,1,Import,32,Argentina,ARG,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,21762,21762,9407747,0
H3,2008,2008,2008,6,1,2,Export,32,Argentina,ARG,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,16,16,2000,0
H3,2008,2008,2008,6,1,2,Export,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,300220,Vaccines for human medicine,8,Weight in kilograms,754,754,47414,0
H3,2008,2008,2008,6,1,1,Import,32,Argentina,ARG,124,Canada,CAN,300220,Vaccines for human medicine,8,Weight in kilograms,391,391,222919,0
H3,2008,2008,2008,6,1,2,Export,32,Argentina,ARG,152,Chile,CHL,300220,Vaccines for human medicine,8,Weight in kilograms,3,3,500,0
H3,2008,2008,2008,6,1,1,Import,32,Argentina,ARG,192,Cuba,CUB,300220,Vaccines for human medicine,8,Weight in kilograms,976,976,123684,6
H3,2008,2008,2008,6,1,1,Import,32,Argentina,ARG,208,Denmark,DNK,300220,Vaccines for human medicine,8,Weight in kilograms,16,16,30255,6
H3,2008,2008,2008,6,1,2,Export,32,Argentina,ARG,214,Dominican Rep.,DOM,300220,Vaccines for human medicine,8,Weight in kilograms,160,160,43200,0
H3,2008,2008,2008,6,1,1,Import,32,Argentina,ARG,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,39196,39196,7757570,0
H3,2008,2008,2008,6,1,2,Export,32,Argentina,ARG,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,26,26,500,0
H3,2008,2008,2008,6,1,1,Import,32,Argentina,ARG,276,Germany,DEU,300220,Vaccines for human medicine,8,Weight in kilograms,4323,4323,1514565,6
H3,2008,2008,2008,6,1,2,Export,32,Argentina,ARG,320,Guatemala,GTM,300220,Vaccines for human medicine,8,Weight in kilograms,36,36,3250,0
H3,2008,2008,2008,6,1,1,Import,32,Argentina,ARG,381,Italy,ITA,300220,Vaccines for human medicine,8,Weight in kilograms,1472,1472,605045,6
H3,2008,2008,2008,6,1,1,Import,32,Argentina,ARG,392,Japan,JPN,300220,Vaccines for human medicine,8,Weight in kilograms,1109,1109,426510,0
H3,2008,2008,2008,6,1,1,Import,32,Argentina,ARG,410,Rep. of Korea,KOR,300220,Vaccines for human medicine,8,Weight in kilograms,463,463,39900,0
H3,2008,2008,2008,6,1,1,Import,32,Argentina,ARG,528,Netherlands,NLD,300220,Vaccines for human medicine,8,Weight in kilograms,286,286,861174,0
H3,2008,2008,2008,6,1,2,Export,32,Argentina,ARG,528,Netherlands,NLD,300220,Vaccines for human medicine,8,Weight in kilograms,0,0,17,6
H3,2008,2008,2008,6,1,2,Export,32,Argentina,ARG,591,Panama,PAN,300220,Vaccines for human medicine,8,Weight in kilograms,341,341,199200,0
H3,2008,2008,2008,6,1,2,Export,32,Argentina,ARG,600,Paraguay,PRY,300220,Vaccines for human medicine,8,Weight in kilograms,4362,4362,365444,0
H3,2008,2008,2008,6,1,2,Export,32,Argentina,ARG,604,Peru,PER,300220,Vaccines for human medicine,8,Weight in kilograms,111,111,25000,0
H3,2008,2008,2008,6,1,2,Export,32,Argentina,ARG,704,Viet Nam,VNM,300220,Vaccines for human medicine,8,Weight in kilograms,1913,1913,84272,0
H3,2008,2008,2008,6,1,1,Import,32,Argentina,ARG,757,Switzerland,CHE,300220,Vaccines for human medicine,8,Weight in kilograms,3206,3206,1418861,0
H3,2008,2008,2008,6,1,1,Import,32,Argentina,ARG,826,United Kingdom,GBR,300220,Vaccines for human medicine,8,Weight in kilograms,5,5,527,0
H3,2008,2008,2008,6,1,1,Import,32,Argentina,ARG,842,USA,USA,300220,Vaccines for human medicine,8,Weight in kilograms,30413,30413,14429723,6
H3,2008,2008,2008,6,1,2,Export,32,Argentina,ARG,842,USA,USA,300220,Vaccines for human medicine,8,Weight in kilograms,16,16,11664,0
H3,2008,2008,2008,6,1,2,Export,32,Argentina,ARG,858,Uruguay,URY,300220,Vaccines for human medicine,8,Weight in kilograms,1040,1040,52942,0
H3,2008,2008,2008,6,1,1,Import,36,Australia,AUS,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,707190,707190,332030313,0
H3,2008,2008,2008,6,1,2,Export,36,Australia,AUS,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,229272,229272,94643013,0
H3,2008,2008,2008,6,1,4,Re-Import,36,Australia,AUS,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,6952,6952,416281,0
H3,2008,2008,2008,6,1,2,Export,36,Australia,AUS,32,Argentina,ARG,300220,Vaccines for human medicine,8,Weight in kilograms,2921,2921,490489,0
H3,2008,2008,2008,6,1,1,Import,36,Australia,AUS,36,Australia,AUS,300220,Vaccines for human medicine,8,Weight in kilograms,6952,6952,416281,0
